Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
11,Exit long,2022-04-19 12:30,Exit Long Add,14145.6,150.93,2138647.914,-3652.51,-0.17,4497.71,0.21,-3652.51,-0.17,-763.66,-0.38
11,Entry long,2022-04-19 11:15,Long Add,14169.8,150.93,2138647.914,-3652.51,-0.17,4497.71,0.21,-3652.51,-0.17,-763.66,-0.38
12,Exit long,2022-04-25 11:00,Exit Long,13320.4,10.38,139067.088,-801.34,-0.58,768.12,0.55,-801.34,-0.58,-1565,-0.78
12,Entry long,2022-04-25 10:15,Long,13397.6,10.38,139067.088,-801.34,-0.58,768.12,0.55,-801.34,-0.58,-1565,-0.78
13,Exit long,2022-05-23 12:45,Exit Long,11975.1,10.49,125802.374,-183.57,-0.15,612.62,0.49,-381.84,-0.30,-1748.57,-0.87
13,Entry long,2022-05-23 11:30,Long,11992.6,10.49,125802.374,-183.57,-0.15,612.62,0.49,-381.84,-0.30,-1748.57,-0.87
14,Exit long,2022-05-31 13:00,Exit Long,12691.4,10.94,139027.708,-183.79,-0.13,507.62,0.37,-529.5,-0.38,-1932.36,-0.97
14,Entry long,2022-05-31 11:45,Long,12708.2,10.94,139027.708,-183.79,-0.13,507.62,0.37,-529.5,-0.38,-1932.36,-0.97
15,Exit long,2022-06-07 11:15,Exit Long,12607.6,12.42,157383.756,-797.36,-0.51,408.62,0.26,-797.36,-0.51,-2729.73,-1.36
15,Entry long,2022-06-07 10:30,Long,12671.8,12.42,157383.756,-797.36,-0.51,408.62,0.26,-797.36,-0.51,-2729.73,-1.36
16,Exit long,2022-06-21 11:15,Exit Long,11613.3,19.61,227413.248,323.57,0.14,968.73,0.43,-258.85,-0.11,-2406.16,-1.20
16,Entry long,2022-06-21 09:45,Long,11596.8,19.61,227413.248,323.57,0.14,968.73,0.43,-258.85,-0.11,-2406.16,-1.20
17,Exit long,2022-07-05 16:00,Max Hold,11771.4,12.13,140822.022,1965.06,1.40,2168.84,1.54,-703.54,-0.50,-441.1,-0.22
17,Entry long,2022-07-05 12:15,Long,11609.4,12.13,140822.022,1965.06,1.40,2168.84,1.54,-703.54,-0.50,-441.1,-0.22
18,Exit long,2022-07-05 16:00,Max Hold,11771.4,121.35,1418411.61,10047.78,0.71,12086.46,0.85,-24.27,0.00,9606.68,4.80
18,Entry long,2022-07-05 14:15,Long Add,11688.6,121.35,1418411.61,10047.78,0.71,12086.46,0.85,-24.27,0.00,9606.68,4.80
19,Exit long,2022-07-19 14:15,Max Hold,12211,18.14,219098.548,2408.99,1.10,3210.78,1.47,-68.93,-0.03,12015.67,6.01
19,Entry long,2022-07-19 10:30,Long,12078.2,18.14,219098.548,2408.99,1.10,3210.78,1.47,-68.93,-0.03,12015.67,6.01
