Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
14,Entry long,2022-05-23 14:30,Long,1855.288,209.26,388237.5669,-767.98,-0.20,755.85,0.19,-767.98,-0.20,24738.39,12.37
15,Exit long,2022-05-30 11:45,Exit,1855.568,245.38,456084.8614,-765.59,-0.17,14.23,0.00,-765.59,-0.17,23972.81,11.99
15,Entry long,2022-05-30 11:00,Long,1858.688,245.38,456084.8614,-765.59,-0.17,14.23,0.00,-765.59,-0.17,23972.81,11.99
16,Exit long,2022-06-07 23:15,Exit,1847.567,200.43,371070.6904,-762.84,-0.21,854.23,0.23,-762.84,-0.21,23209.97,11.60
16,Entry long,2022-06-07 13:45,Long,1851.373,200.43,371070.6904,-762.84,-0.21,854.23,0.23,-762.84,-0.21,23209.97,11.60
17,Exit long,2022-06-21 01:30,Exit,1835.966,307.78,565834.4476,-760.83,-0.13,1240.97,0.22,-760.83,-0.13,22449.14,11.22
17,Entry long,2022-06-20 14:30,Long,1838.438,307.78,565834.4476,-760.83,-0.13,1240.97,0.22,-760.83,-0.13,22449.14,11.22
18,Exit long,2022-06-21 11:45,Exit,1834.513,184.11,338509.8011,-757.61,-0.22,927.36,0.27,-757.61,-0.22,21691.52,10.85
18,Entry long,2022-06-21 10:00,Long,1838.628,184.11,338509.8011,-757.61,-0.22,927.36,0.27,-757.61,-0.22,21691.52,10.85
19,Exit long,2022-07-25 14:45,Exit,1717.629,221.18,380660.2907,-755.11,-0.20,104.4,0.03,-755.11,-0.20,20936.41,10.47
19,Entry long,2022-07-25 13:30,Long,1721.043,221.18,380660.2907,-755.11,-0.20,104.4,0.03,-755.11,-0.20,20936.41,10.47
20,Exit long,2022-07-26 10:45,Exit,1717.679,201.79,347362.9203,-752.47,-0.22,84.15,0.02,-752.47,-0.22,20183.94,10.09
20,Entry long,2022-07-26 09:45,Long,1721.408,201.79,347362.9203,-752.47,-0.22,84.15,0.02,-752.47,-0.22,20183.94,10.09
21,Exit long,2022-07-28 09:00,Exit,1743.353,159.49,278796.973,-749.6,-0.27,295.38,0.11,-749.6,-0.27,19434.34,9.72
21,Entry long,2022-07-28 08:45,Long,1748.053,159.49,278796.973,-749.6,-0.27,295.38,0.11,-749.6,-0.27,19434.34,9.72
22,Exit long,2022-08-10 21:30,Stale,1788.892,178.37,312773.222,6311.44,2.02,9712.6,3.11,-194.96,-0.06,25745.78,12.87
22,Entry long,2022-07-28 15:00,Long,1753.508,178.37,312773.222,6311.44,2.02,9712.6,3.11,-194.96,-0.06,25745.78,12.87
23,Exit long,2022-08-11 14:15,Exit,1787.753,208.64,373765.6243,-768.84,-0.21,31.71,0.01,-768.84,-0.21,24976.94,12.49
23,Entry long,2022-08-11 13:30,Long,1791.438,208.64,373765.6243,-768.84,-0.21,31.71,0.01,-768.84,-0.21,24976.94,12.49
24,Exit long,2022-09-12 21:00,Exit,1723.623,166.89,288421.4676,-766.03,-0.27,1162.72,0.40,-766.03,-0.27,24210.92,12.11
24,Entry long,2022-09-12 10:30,Long,1728.213,166.89,288421.4676,-766.03,-0.27,1162.72,0.40,-766.03,-0.27,24210.92,12.11
25,Exit long,2022-09-29 10:15,Exit,1649.3,144.33,238806.686,-763.22,-0.32,522.04,0.22,-763.22,-0.32,23447.7,11.72
25,Entry long,2022-09-29 09:15,Long,1654.588,144.33,238806.686,-763.22,-0.32,522.04,0.22,-763.22,-0.32,23447.7,11.72
26,Exit long,2022-10-12 16:30,Stale,1673.152,118.23,195477.1075,2339.65,1.20,9012.32,4.61,-42.92,-0.02,25787.35,12.89
26,Entry long,2022-09-29 11:00,Long,1653.363,118.23,195477.1075,2339.65,1.20,9012.32,4.61,-42.92,-0.02,25787.35,12.89
