Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
166,Entry long,2024-12-10 10:45,Long,44432.4,51.71,2297599.404,113.76,0.00,3081.92,0.13,-1303.09,-0.06,145087.36,72.54
167,Exit long,2024-12-20 12:30,Exit Long,43262.4,28.86,1231144.512,17408.35,1.41,20184.68,1.64,-207.79,-0.02,162495.72,81.25
167,Entry long,2024-12-20 10:15,Long,42659.2,28.86,1231144.512,17408.35,1.41,20184.68,1.64,-207.79,-0.02,162495.72,81.25
168,Exit long,2024-12-20 12:30,Exit Long Add,43262.4,101.01,4366985.532,2949.49,0.07,12666.65,0.29,-3494.95,-0.08,165445.2,82.72
168,Entry long,2024-12-20 11:45,Long Add,43233.2,101.01,4366985.532,2949.49,0.07,12666.65,0.29,-3494.95,-0.08,165445.2,82.72
169,Exit long,2024-12-24 11:15,Exit Long,43177.5,65.38,2826625.844,-3680.89,-0.13,52.3,0.00,-4001.26,-0.14,161764.31,80.88
169,Entry long,2024-12-24 10:45,Long,43233.8,65.38,2826625.844,-3680.89,-0.13,52.3,0.00,-4001.26,-0.14,161764.31,80.88
170,Exit long,2024-12-24 12:30,Exit Long,43275.2,60.98,2637860.644,1061.05,0.04,4780.83,0.18,-3634.41,-0.14,162825.36,81.41
170,Entry long,2024-12-24 11:30,Long,43257.8,60.98,2637860.644,1061.05,0.04,4780.83,0.18,-3634.41,-0.14,162825.36,81.41
171,Exit long,2025-01-17 11:00,Exit Long,43560.9,62.25,2711547.75,118.28,0.00,1979.55,0.07,-547.8,-0.02,162943.64,81.47
171,Entry long,2025-01-17 10:30,Long,43559,62.25,2711547.75,118.28,0.00,1979.55,0.07,-547.8,-0.02,162943.64,81.47
172,Exit long,2025-01-17 12:00,Exit Long,43598.8,63.22,2756202.34,113.8,0.00,3464.46,0.13,-429.9,-0.02,163057.44,81.53
172,Entry long,2025-01-17 11:00,Long,43597,63.22,2756202.34,113.8,0.00,3464.46,0.13,-429.9,-0.02,163057.44,81.53
