trade_num,signal,entry_dt_utc,net_pnl_usd,n_entries_that_day,nearest_event_minutes_signed,nearest_event_type,in_window_30,in_window_60,in_window_90,in_window_120,in_window_180
204,Long,2025-11-25 15:30:00,168.0,3,-4200,none,False,False,False,False,False
205,Long,2025-11-25 16:45:00,12883.14,3,-4125,none,False,False,False,False,False
206,Long Add,2025-11-25 19:00:00,28392.32,3,-3990,none,False,False,False,False,False
207,Long,2025-11-28 15:15:00,1268.36,1,105,PCE,False,False,False,True,True
208,Long,2025-12-02 15:00:00,-7767.76,1,1440,none,False,False,False,False,False
209,Long,2025-12-05 15:00:00,-4798.14,1,90,NFP,False,False,True,True,True
210,Long,2025-12-09 14:30:00,2715.66,1,-1380,none,False,False,False,False,False
211,Long,2025-12-23 15:30:00,971.14,1,-4200,none,False,False,False,False,False
212,Long,2026-01-06 14:30:00,9199.89,3,1410,none,False,False,False,False,False
213,Long,2026-01-06 16:15:00,13917.12,3,1515,none,False,False,False,False,False
214,Long Add,2026-01-06 17:45:00,8001.28,3,1605,none,False,False,False,False,False
215,Long,2026-01-09 16:45:00,161.84,1,1635,none,False,False,False,False,False
216,Long,2026-01-20 15:30:00,-5093.79,1,120,RetailSales,False,False,False,True,True
217,Long,2026-02-06 15:30:00,15549.45,2,120,NFP,False,False,False,True,True
218,Long Add,2026-02-06 17:45:00,30517.23,2,255,none,False,False,False,False,False
219,Long,2026-02-10 14:30:00,10237.28,1,-1380,none,False,False,False,False,False
220,Long,2026-03-10 14:45:00,217.16,1,-1305,none,False,False,False,False,False
221,Long,2026-03-24 15:15:00,-5587.82,1,-4155,none,False,False,False,False,False
222,Long,2026-03-31 16:30:00,-23.49,1,-1290,none,False,False,False,False,False
223,Long,2026-04-17 13:45:00,9642.5,2,-5685,none,False,False,False,False,False
224,Long,2026-04-17 15:45:00,211.95,2,-5565,none,False,False,False,False,False
