exit_reason,pnl_price,bars_held,atr_at_entry,mfe_price,mae_price,mfe_R,mae_R,sim_R,sim_pnl_pct,timestamp_utc,block_atr,block_session,block_dow,block_warmup,block_body,block_prev_bullish,strategy,block_atr_cohort_n,block_session_cohort_n,block_dow_cohort_n,block_warmup_cohort_n,block_body_cohort_n,block_prev_bullish_cohort_n,thin_cohort_any,feed,panel_window,canonical_status,simulation_simplifications
stop,-41.055836369232566,3,32.84466909538613,3.5,51.0,0.08524975519979683,1.2422107186256108,-0.9999999999999976,-0.9999999999999976,2022-05-11T05:15:00+00:00,1,1,1,1,0,1,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,1.7155067650892306,1,34.310135301814164,8.0,33.5,0.18653380243771867,0.7811102977079468,0.03999999999996555,0.03999999999996555,2022-05-11T06:15:00+00:00,1,1,1,1,0,0,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,2.387984702905669,1,47.7596940581135,55.0,8.5,0.921278933371333,0.1423794715210242,0.0399999999999999,0.0399999999999999,2022-05-11T08:00:00+00:00,1,1,1,1,0,0,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,2.459531548094674,1,49.190630961921364,61.0,5.0,0.9920588340852193,0.08131629787583765,0.039999999999977325,0.039999999999977325,2022-05-11T08:15:00+00:00,1,1,1,1,0,0,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,2.535937770997407,1,50.71875541992851,41.5,8.5,0.6545901949903721,0.1340726905401967,0.040000000000015475,0.040000000000015475,2022-05-11T08:30:00+00:00,1,1,1,1,0,0,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,2.5326707009044185,1,50.65341401811683,38.0,0.0,0.600156980319768,0.0,0.039999999999977526,0.039999999999977526,2022-05-11T08:45:00+00:00,1,1,1,1,0,0,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-61.87887956604027,4,49.503103652833474,3.0,78.0,0.04848180867266952,1.2605270254894074,-0.9999999999999745,-0.9999999999999745,2022-05-11T09:00:00+00:00,1,1,1,1,0,0,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,2.118380083804368,1,42.36760167611117,13.5,29.0,0.25491176211868377,0.5475882297364318,0.03999999999997752,0.03999999999997752,2022-05-11T11:30:00+00:00,1,1,1,1,0,0,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-172.22889415053578,1,137.78311532042977,17.0,201.0,0.09870585353199271,1.1670515623488549,-0.9999999999999918,-0.9999999999999918,2022-05-11T14:30:00+00:00,0,0,1,0,0,0,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,7.682113568997011,10,153.64227137992225,29.5,163.5,0.1536035609734159,0.8513282108187628,0.04000000000000468,0.04000000000000468,2022-05-12T19:45:00+00:00,0,1,1,1,0,0,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,4.614513320972037,1,92.2902664194321,40.0,2.5,0.34673212291499317,0.021670757682187073,0.04000000000000375,0.04000000000000375,2022-05-12T23:15:00+00:00,1,1,1,1,0,0,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,4.388193928156397,1,87.76387856312009,35.0,0.0,0.31903785997632617,0.0,0.04000000000000358,0.04000000000000358,2022-05-12T23:30:00+00:00,1,1,1,1,0,0,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,4.148358116504824,1,82.96716233010918,39.0,38.0,0.3760523937875765,0.3664100247161002,0.039999999999993874,0.039999999999993874,2022-05-12T23:45:00+00:00,1,1,1,1,0,0,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,3.9306678648790694,1,78.61335729761089,30.0,2.5,0.30529163013788974,0.02544096917815748,0.03999999999998499,0.03999999999998499,2022-05-13T00:15:00+00:00,1,1,0,1,0,0,striker,5236,5717,4618,6176,450,1554,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
