Trade #,Type,Date and time,Signal,Price JPY,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
94,Exit long,2025-07-09 10:30,X-Long,146.328,3879745,567661009.9,138.16,0.00,2212.65,0.06,-1333.49,-0.03,99730.45,49.87
94,Entry long,2025-07-09 10:15,Long,146.314,3879745,567661009.9,138.16,0.00,2212.65,0.06,-1333.49,-0.03,99730.45,49.87
95,Exit long,2025-07-21 12:30,X-Long,147.119,3687337,542694885,-1679.98,-0.05,1723.46,0.05,-2536.61,-0.07,98050.48,49.03
95,Entry long,2025-07-21 12:15,Long,147.178,3687337,542694885,-1679.98,-0.05,1723.46,0.05,-2536.61,-0.07,98050.48,49.03
96,Exit long,2025-08-19 13:30,X-Long,147.497,4634235,683484783.2,67.39,0.00,2618.98,0.06,-953.41,-0.02,98117.87,49.06
96,Entry long,2025-08-19 13:15,Long,147.486,4634235,683484783.2,67.39,0.00,2618.98,0.06,-953.41,-0.02,98117.87,49.06
97,Exit long,2025-08-20 10:30,X-Long,147.163,4144805,610098716.8,-1173.96,-0.03,1559.94,0.04,-1611.35,-0.04,96943.91,48.47
97,Entry long,2025-08-20 10:15,Long,147.196,4144805,610098716.8,-1173.96,-0.03,1559.94,0.04,-1611.35,-0.04,96943.91,48.47
98,Exit long,2025-08-26 14:15,X-Long,147.541,4130910,607966679.3,9985.44,0.24,10109.19,0.25,-1325.64,-0.03,106929.35,53.46
98,Entry long,2025-08-26 12:30,Long,147.175,4130910,607966679.3,9985.44,0.24,10109.19,0.25,-1325.64,-0.03,106929.35,53.46
99,Exit long,2025-08-27 10:45,X-Long,147.943,4750509,702837806.5,-511.52,-0.01,1757.86,0.04,-1206.19,-0.03,106417.84,53.21
99,Entry long,2025-08-27 10:30,Long,147.95,4750509,702837806.5,-511.52,-0.01,1757.86,0.04,-1206.19,-0.03,106417.84,53.21
100,Exit long,2025-09-03 10:45,X-Long,148.14,3503148,519089464.3,-1106.79,-0.03,1665.39,0.05,-2512.56,-0.07,105311.04,52.66
100,Entry long,2025-09-03 10:15,Long,148.178,3503148,519089464.3,-1106.79,-0.03,1665.39,0.05,-2512.56,-0.07,105311.04,52.66
101,Exit long,2025-09-10 10:30,X-Long,147.288,4124557,607456505.8,32.54,0.00,3121.71,0.08,-599.22,-0.01,105343.58,52.67
101,Entry long,2025-09-10 10:15,Long,147.278,4124557,607456505.8,32.54,0.00,3121.71,0.08,-599.22,-0.01,105343.58,52.67
102,Exit long,2025-09-22 13:15,X-Long,147.751,5635408,832603355,-109.06,0.00,1239.76,0.02,-1158.47,-0.02,105234.52,52.62
102,Entry long,2025-09-22 13:00,Long,147.745,5635408,832603355,-109.06,0.00,1239.76,0.02,-1158.47,-0.02,105234.52,52.62
103,Exit long,2025-09-23 14:00,X-Long,147.546,4712797,695307218.2,36.6,0.00,2473.95,0.05,-1576.27,-0.03,105271.12,52.64
103,Entry long,2025-09-23 13:45,Long,147.536,4712797,695307218.2,36.6,0.00,2473.95,0.05,-1576.27,-0.03,105271.12,52.64
104,Exit long,2025-10-14 13:00,X-Long,151.707,3444278,522469418.4,133.41,0.00,1322.04,0.04,-577.92,-0.02,105404.52,52.70
104,Entry long,2025-10-14 12:45,Long,151.692,3444278,522469418.4,133.41,0.00,1322.04,0.04,-577.92,-0.02,105404.52,52.70
105,Exit long,2025-10-20 11:00,X-Long,150.553,4221532,635509427.3,111.14,0.00,2310.71,0.05,-3796.36,-0.09,105515.66,52.76
105,Entry long,2025-10-20 10:30,Long,150.54,4221532,635509427.3,111.14,0.00,2310.71,0.05,-3796.36,-0.09,105515.66,52.76
106,Exit long,2025-10-22 15:00,X-Long,151.899,4539175,688211556.8,8181.86,0.18,8317.99,0.18,-315.11,-0.01,113697.52,56.85
106,Entry long,2025-10-22 13:45,Long,151.616,4539175,688211556.8,8181.86,0.18,8317.99,0.18,-315.11,-0.01,113697.52,56.85
107,Exit long,2025-11-03 10:30,X-Long,154.023,7173467,1104843040,-197.48,0.00,4208.34,0.06,-2031.1,-0.03,113500.04,56.75
107,Entry long,2025-11-03 10:15,Long,154.018,7173467,1104843040,-197.48,0.00,4208.34,0.06,-2031.1,-0.03,113500.04,56.75
108,Exit long,2025-11-12 19:45,X-Long,154.885,5779602,893220150.3,12266.6,0.21,12440.01,0.22,-1822.93,-0.03,125766.64,62.88
108,Entry long,2025-11-12 12:15,Long,154.547,5779602,893220150.3,12266.6,0.21,12440.01,0.22,-1822.93,-0.03,125766.64,62.88
109,Exit long,2025-11-25 12:45,X-Long,155.933,3683745,574351101.7,202.88,0.01,1204.5,0.03,-1517.92,-0.04,125969.52,62.98
109,Entry long,2025-11-25 12:30,Long,155.915,3683745,574351101.7,202.88,0.01,1204.5,0.03,-1517.92,-0.04,125969.52,62.98
110,Exit long,2025-12-03 10:45,X-Long,155.286,4515912,701203719.9,77.71,0.00,4672.55,0.10,-1785.66,-0.04,126047.23,63.02
110,Entry long,2025-12-03 10:30,Long,155.274,4515912,701203719.9,77.71,0.00,4672.55,0.10,-1785.66,-0.04,126047.23,63.02
111,Exit long,2025-12-10 10:30,X-Long,156.425,6742965,1054714356,-59.52,0.00,2247.45,0.03,-1490.6,-0.02,125987.71,62.99
111,Entry long,2025-12-10 10:15,Long,156.417,6742965,1054714356,-59.52,0.00,2247.45,0.03,-1490.6,-0.02,125987.71,62.99
112,Exit long,2025-12-17 11:00,X-Long,155.399,5231333,813032849.5,-889.76,-0.02,2918.18,0.06,-2455.97,-0.05,125097.95,62.55
112,Entry long,2025-12-17 10:45,Long,155.416,5231333,813032849.5,-889.76,-0.02,2918.18,0.06,-2455.97,-0.05,125097.95,62.55
113,Exit long,2025-12-24 12:45,X-Long,155.997,5872437,914555721.1,9420.25,0.16,9596.14,0.16,-589.01,-0.01,134518.2,67.26
113,Entry long,2025-12-24 10:15,Long,155.737,5872437,914555721.1,9420.25,0.16,9596.14,0.16,-589.01,-0.01,134518.2,67.26
114,Exit long,2026-01-27 13:00,X-Long,152.672,2574526,392983372.2,331.15,0.01,2510.62,0.10,-710.68,-0.03,134849.36,67.42
114,Entry long,2026-01-27 12:45,Long,152.643,2574526,392983372.2,331.15,0.01,2510.62,0.10,-710.68,-0.03,134849.36,67.42
115,Exit long,2026-02-11 13:15,X-Long,152.876,2146798,328114459.5,386.83,0.02,1659.93,0.08,-4039.28,-0.19,135236.19,67.62
115,Entry long,2026-02-11 12:15,Long,152.839,2146798,328114459.5,386.83,0.02,1659.93,0.08,-4039.28,-0.19,135236.19,67.62
116,Exit long,2026-02-23 10:30,X-Long,154.405,4399535,679257407.3,77.61,0.00,2194.46,0.05,-556.83,-0.01,135313.8,67.66
116,Entry long,2026-02-23 10:15,Long,154.393,4399535,679257407.3,77.61,0.00,2194.46,0.05,-556.83,-0.01,135313.8,67.66
117,Exit long,2026-02-25 10:30,X-Long,156.462,4138101,647385210.9,201.99,0.00,1732.81,0.04,-1265.47,-0.03,135515.8,67.76
117,Entry long,2026-02-25 10:15,Long,156.445,4138101,647385210.9,201.99,0.00,1732.81,0.04,-1265.47,-0.03,135515.8,67.76
118,Exit long,2026-03-03 14:30,X-Long,157.587,4104112,646689032,170.66,0.00,6342.96,0.15,-1035.82,-0.03,135686.45,67.84
118,Entry long,2026-03-03 13:45,Long,157.571,4104112,646689032,170.66,0.00,6342.96,0.15,-1035.82,-0.03,135686.45,67.84
119,Exit long,2026-03-09 14:45,X-Long,158.39,3970091,627325989.2,9247.4,0.23,9366.96,0.24,-1176.1,-0.03,144933.84,72.47
119,Entry long,2026-03-09 12:45,Long,158.013,3970091,627325989.2,9247.4,0.23,9366.96,0.24,-1176.1,-0.03,144933.84,72.47
120,Exit long,2026-03-10 14:00,X-Long,157.767,4719306,743035852.5,9321.51,0.20,9463.12,0.20,-201.17,0.00,154255.34,77.13
120,Entry long,2026-03-10 13:30,Long,157.446,4719306,743035852.5,9321.51,0.20,9463.12,0.20,-201.17,0.00,154255.34,77.13
121,Exit long,2026-03-16 11:00,X-Long,159.208,6018820,956125669.9,12898.95,0.22,13078.85,0.22,-518.49,-0.01,167154.3,83.58
121,Entry long,2026-03-16 10:15,Long,158.856,6018820,956125669.9,12898.95,0.22,13078.85,0.22,-518.49,-0.01,167154.3,83.58
122,Exit long,2026-04-13 16:30,X-Long,159.416,7133796,1137191287,-114.83,0.00,1442.44,0.02,-5586.71,-0.08,167039.47,83.52
122,Entry long,2026-04-13 13:15,Long,159.409,7133796,1137191287,-114.83,0.00,1442.44,0.02,-5586.71,-0.08,167039.47,83.52
123,Exit long,2026-04-15 13:45,X-Long,159.085,6088369,966735583.3,11168.95,0.18,11351.84,0.19,-412.46,-0.01,178208.42,89.10
123,Entry long,2026-04-15 12:30,Long,158.784,6088369,966735583.3,11168.95,0.18,11351.84,0.19,-412.46,-0.01,178208.42,89.10
