Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
218,Entry long,2025-12-09 09:30,Long,47813.2,77.2,3691179.04,2478.12,0.07,10105.48,0.27,-3257.84,-0.09,252012.52,126.01
219,Exit long,2025-12-23 14:00,Exit Long,48460.2,75.2,3643319.68,887.36,0.02,5233.92,0.14,-4015.68,-0.11,252899.88,126.45
219,Entry long,2025-12-23 10:30,Long,48448.4,75.2,3643319.68,887.36,0.02,5233.92,0.14,-4015.68,-0.11,252899.88,126.45
220,Exit long,2026-01-06 10:15,Exit Long,49113.3,78.5,3847347.8,8046.25,0.21,12630.65,0.33,-2794.6,-0.07,260946.12,130.47
220,Entry long,2026-01-06 09:30,Long,49010.8,78.5,3847347.8,8046.25,0.21,12630.65,0.33,-2794.6,-0.07,260946.12,130.47
221,Exit long,2026-01-06 14:30,Exit Long,49430.4,55.4,2725945.92,12498.24,0.46,15766.84,0.58,-2260.32,-0.08,273444.38,136.72
221,Entry long,2026-01-06 11:15,Long,49204.8,55.4,2725945.92,12498.24,0.46,15766.84,0.58,-2260.32,-0.08,273444.38,136.72
222,Exit long,2026-01-06 14:30,Exit Long Add,49430.4,194,9582843.4,6654.2,0.07,18100.2,0.19,-4229.2,-0.04,280098.56,140.05
222,Entry long,2026-01-06 12:45,Long Add,49396.1,194,9582843.4,6654.2,0.07,18100.2,0.19,-4229.2,-0.04,280098.56,140.05
223,Exit long,2026-01-09 12:15,Exit Long,49518.1,43.2,2139035.04,146.88,0.01,1183.68,0.06,-527.04,-0.02,280245.44,140.12
223,Entry long,2026-01-09 11:45,Long,49514.7,43.2,2139035.04,146.88,0.01,1183.68,0.06,-527.04,-0.02,280245.44,140.12
224,Exit long,2026-01-20 11:00,Exit Long,48763.7,43.7,2135793.8,-4820.11,-0.23,520.03,0.02,-4820.11,-0.23,275425.34,137.71
224,Entry long,2026-01-20 10:30,Long,48874,43.7,2135793.8,-4820.11,-0.23,520.03,0.02,-4820.11,-0.23,275425.34,137.71
