Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
202,Entry long,2026-02-19 08:45,Long,4993.87,157.3,785535.751,-2431.86,-0.31,729.87,0.09,-2431.86,-0.31,507605.12,253.80
203,Exit long,2026-03-01 18:00,Exit,5351.8,126.8,633054.072,45554.17,7.20,45554.17,7.20,-2180.96,-0.34,553159.3,276.58
203,Entry long,2026-02-19 09:45,Long,4992.54,126.8,633054.072,45554.17,7.20,45554.17,7.20,-2180.96,-0.34,553159.3,276.58
204,Exit long,2026-03-03 01:00,Exit,5297.17,76.5,407811.555,-2578.05,-0.63,3737.79,0.92,-2578.05,-0.63,550581.25,275.29
204,Entry long,2026-03-02 14:15,Long,5330.87,76.5,407811.555,-2578.05,-0.63,3737.79,0.92,-2578.05,-0.63,550581.25,275.29
205,Exit long,2026-03-12 09:15,Exit,5168.95,207.6,1075457.268,-2383.25,-0.22,1187.47,0.11,-2383.25,-0.22,548198,274.10
205,Entry long,2026-03-12 09:00,Long,5180.43,207.6,1075457.268,-2383.25,-0.22,1187.47,0.11,-2383.25,-0.22,548198,274.10
206,Exit long,2026-03-30 13:00,Exit,4522.77,97.7,444730.4,-2855.77,-0.64,474.82,0.11,-2855.77,-0.64,545342.25,272.67
206,Entry long,2026-03-30 11:45,Long,4552,97.7,444730.4,-2855.77,-0.64,474.82,0.11,-2855.77,-0.64,545342.25,272.67
207,Exit long,2026-04-05 18:45,Exit,4612.78,75.7,351738.536,-2551.09,-0.73,4030.27,1.15,-2551.09,-0.73,542791.1,271.40
207,Entry long,2026-04-02 10:00,Long,4646.48,75.7,351738.536,-2551.09,-0.73,4030.27,1.15,-2551.09,-0.73,542791.1,271.40
208,Exit long,2026-04-06 11:00,Exit,4664.14,115.1,539386.224,-2543.71,-0.47,1316.74,0.24,-2543.71,-0.47,540247.44,270.12
208,Entry long,2026-04-06 10:30,Long,4686.24,115.1,539386.224,-2543.71,-0.47,1316.74,0.24,-2543.71,-0.47,540247.44,270.12
209,Exit long,2026-04-20 18:00,Stale,4823.91,85.8,399257.43,14634.05,3.67,20256.52,5.07,-1091.38,-0.27,554881.44,277.44
209,Entry long,2026-04-07 11:30,Long,4653.35,85.8,399257.43,14634.05,3.67,20256.52,5.07,-1091.38,-0.27,554881.44,277.44
