Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
25,Entry long,2022-07-19 11:30,Long Add,31557.7,106.4,3357739.28,-1234.24,-0.04,4287.92,0.13,-1298.08,-0.04,12405.5,6.20
26,Exit long,2022-07-19 14:45,Exit Long,31707.4,28.7,908659.22,1343.16,0.15,3725.26,0.41,-1368.99,-0.15,13748.66,6.87
26,Entry long,2022-07-19 12:30,Long,31660.6,28.7,908659.22,1343.16,0.15,3725.26,0.41,-1368.99,-0.15,13748.66,6.87
27,Exit long,2022-07-19 14:45,Exit Long Add,31707.4,100.5,3191588.55,-4994.85,-0.16,1286.4,0.04,-4994.85,-0.16,8753.81,4.38
27,Entry long,2022-07-19 14:00,Long Add,31757.1,100.5,3191588.55,-4994.85,-0.16,1286.4,0.04,-4994.85,-0.16,8753.81,4.38
28,Exit long,2022-07-29 10:45,Exit Long,32689.6,31.1,1016575.03,71.53,0.01,693.53,0.07,-1063.62,-0.10,8825.34,4.41
28,Entry long,2022-07-29 10:15,Long,32687.3,31.1,1016575.03,71.53,0.01,693.53,0.07,-1063.62,-0.10,8825.34,4.41
29,Exit long,2022-07-29 14:00,Exit Long,32734.9,29.1,952512.84,72.75,0.01,1187.28,0.12,-1504.47,-0.16,8898.09,4.45
29,Entry long,2022-07-29 12:45,Long,32732.4,29.1,952512.84,72.75,0.01,1187.28,0.12,-1504.47,-0.16,8898.09,4.45
30,Exit long,2022-08-02 13:15,Exit Long,32666.3,24.8,812219.84,-2095.6,-0.26,515.84,0.06,-2095.6,-0.26,6802.49,3.40
30,Entry long,2022-08-02 12:15,Long,32750.8,24.8,812219.84,-2095.6,-0.26,515.84,0.06,-2095.6,-0.26,6802.49,3.40
31,Exit long,2022-08-14 18:00,Exit Long,33710.7,35.7,1198684.62,4787.37,0.40,6511.68,0.54,-60.69,-0.01,11589.86,5.79
31,Entry long,2022-08-12 12:00,Long,33576.6,35.7,1198684.62,4787.37,0.40,6511.68,0.54,-60.69,-0.01,11589.86,5.79
32,Exit long,2022-08-14 18:00,Exit Long Add,33710.7,125.2,4216635.84,3943.8,0.09,9990.96,0.24,-2716.84,-0.06,15533.66,7.77
32,Entry long,2022-08-12 14:30,Long Add,33679.2,125.2,4216635.84,3943.8,0.09,9990.96,0.24,-2716.84,-0.06,15533.66,7.77
33,Exit long,2022-08-16 10:15,Exit Long,33970.9,44.5,1511633.85,71.2,0.00,1815.6,0.12,-2345.15,-0.16,15604.86,7.80
33,Entry long,2022-08-16 09:45,Long,33969.3,44.5,1511633.85,71.2,0.00,1815.6,0.12,-2345.15,-0.16,15604.86,7.80
34,Exit long,2022-08-16 13:00,Exit Long,34132.7,36.3,1237198.38,1818.63,0.15,3876.84,0.31,-261.36,-0.02,17423.49,8.71
34,Entry long,2022-08-16 11:15,Long,34082.6,36.3,1237198.38,1818.63,0.15,3876.84,0.31,-261.36,-0.02,17423.49,8.71
35,Exit long,2022-09-02 12:00,Exit Long,31979.6,20.9,668292.13,81.51,0.01,1166.22,0.17,-1519.43,-0.23,17505,8.75
35,Entry long,2022-09-02 10:30,Long,31975.7,20.9,668292.13,81.51,0.01,1166.22,0.17,-1519.43,-0.23,17505,8.75
36,Exit long,2022-10-04 10:15,Exit Long,30180.7,26.3,793673.51,78.9,0.01,2558.99,0.32,-97.31,-0.01,17583.9,8.79
36,Entry long,2022-10-04 09:45,Long,30177.7,26.3,793673.51,78.9,0.01,2558.99,0.32,-97.31,-0.01,17583.9,8.79
37,Exit long,2022-10-11 12:00,Exit Long,29395.1,22.4,655616.64,2833.6,0.43,5517.12,0.84,-934.08,-0.14,20417.5,10.21
37,Entry long,2022-10-11 10:30,Long,29268.6,22.4,655616.64,2833.6,0.43,5517.12,0.84,-934.08,-0.14,20417.5,10.21
38,Exit long,2022-10-11 13:30,Exit Long,29482.7,20.7,612502.65,-2210.76,-0.36,471.96,0.08,-2210.76,-0.36,18206.74,9.10
38,Entry long,2022-10-11 12:30,Long,29589.5,20.7,612502.65,-2210.76,-0.36,471.96,0.08,-2210.76,-0.36,18206.74,9.10
39,Exit long,2022-10-21 10:15,Exit Long,30691.9,17.2,527818.12,82.56,0.02,1338.16,0.25,-502.24,-0.10,18289.3,9.14
39,Entry long,2022-10-21 09:45,Long,30687.1,17.2,527818.12,82.56,0.02,1338.16,0.25,-502.24,-0.10,18289.3,9.14
40,Exit long,2022-10-23 19:15,Exit Long,31247.4,15.3,472514.49,5570.73,1.18,8252.82,1.75,-844.56,-0.18,23860.03,11.93
40,Entry long,2022-10-21 12:45,Long,30883.3,15.3,472514.49,5570.73,1.18,8252.82,1.75,-844.56,-0.18,23860.03,11.93
41,Exit long,2022-10-23 19:15,Exit Long Add,31247.4,53.8,1674153.78,6956.34,0.42,16387.48,0.98,-3857.46,-0.23,30816.37,15.41
41,Entry long,2022-10-21 15:15,Long Add,31118.1,53.8,1674153.78,6956.34,0.42,16387.48,0.98,-3857.46,-0.23,30816.37,15.41
42,Exit long,2022-10-25 13:00,Exit Long,31696.9,26.8,851795.12,-2318.2,-0.27,704.84,0.08,-2318.2,-0.27,28498.17,14.25
42,Entry long,2022-10-25 11:30,Long,31783.4,26.8,851795.12,-2318.2,-0.27,704.84,0.08,-2318.2,-0.27,28498.17,14.25
43,Exit long,2022-10-28 12:00,Exit Long,32638,18.6,606981.24,85.56,0.01,898.38,0.15,-1175.52,-0.19,28583.73,14.29
43,Entry long,2022-10-28 10:45,Long,32633.4,18.6,606981.24,85.56,0.01,898.38,0.15,-1175.52,-0.19,28583.73,14.29
44,Exit long,2022-10-30 18:00,Exit Long,32865.4,21.7,710206.28,2972.9,0.42,5147.24,0.72,-865.83,-0.12,31556.63,15.78
44,Entry long,2022-10-28 12:15,Long,32728.4,21.7,710206.28,2972.9,0.42,5147.24,0.72,-865.83,-0.12,31556.63,15.78
45,Exit long,2022-10-30 18:00,Exit Long Add,32865.4,76.1,2499862.17,1194.77,0.05,8819.99,0.35,-2678.72,-0.11,32751.4,16.38
45,Entry long,2022-10-28 14:30,Long Add,32849.7,76.1,2499862.17,1194.77,0.05,8819.99,0.35,-2678.72,-0.11,32751.4,16.38
46,Exit long,2022-11-04 10:45,Exit Long,32460.6,17.7,574244.64,307.98,0.05,2952.36,0.51,-959.34,-0.17,33059.38,16.53
46,Entry long,2022-11-04 10:00,Long,32443.2,17.7,574244.64,307.98,0.05,2952.36,0.51,-959.34,-0.17,33059.38,16.53
47,Exit long,2022-11-08 11:00,Exit Long,33181.7,34.7,1149749.8,1655.19,0.14,3914.16,0.34,-700.94,-0.06,34714.57,17.36
47,Entry long,2022-11-08 10:15,Long,33134,34.7,1149749.8,1655.19,0.14,3914.16,0.34,-700.94,-0.06,34714.57,17.36
48,Exit long,2022-11-08 12:00,Exit Long,33319.8,30,999510,84,0.01,1284,0.13,-741,-0.07,34798.57,17.40
48,Entry long,2022-11-08 11:30,Long,33317,30,999510,84,0.01,1284,0.13,-741,-0.07,34798.57,17.40
49,Exit long,2022-11-22 11:00,Exit Long,33979,41.3,1403254.23,78.47,0.01,1585.92,0.11,-1532.23,-0.11,34877.04,17.44
49,Entry long,2022-11-22 10:00,Long,33977.1,41.3,1403254.23,78.47,0.01,1585.92,0.11,-1532.23,-0.11,34877.04,17.44
50,Exit long,2022-11-25 10:15,Exit Long,34322.6,64,2196576,70.4,0.00,2739.2,0.12,-44.8,0.00,34947.44,17.47
50,Entry long,2022-11-25 09:45,Long,34321.5,64,2196576,70.4,0.00,2739.2,0.12,-44.8,0.00,34947.44,17.47
51,Exit long,2022-11-29 10:45,Exit Long,33841.7,34.7,1176673.53,-2366.54,-0.20,791.16,0.07,-2366.54,-0.20,32580.9,16.29
51,Entry long,2022-11-29 10:15,Long,33909.9,34.7,1176673.53,-2366.54,-0.20,791.16,0.07,-2366.54,-0.20,32580.9,16.29
52,Exit long,2022-12-20 10:45,Exit Long,32889.1,28.6,940545.32,82.94,0.01,1644.5,0.17,-5.72,0.00,32663.84,16.33
52,Entry long,2022-12-20 10:15,Long,32886.2,28.6,940545.32,82.94,0.01,1644.5,0.17,-5.72,0.00,32663.84,16.33
53,Exit long,2023-01-06 09:15,Exit Long,33214.2,29.8,992122.46,-2339.3,-0.24,470.84,0.05,-2449.56,-0.25,30324.54,15.16
53,Entry long,2023-01-06 08:45,Long,33292.7,29.8,992122.46,-2339.3,-0.24,470.84,0.05,-2449.56,-0.25,30324.54,15.16
54,Exit long,2023-01-06 12:45,Exit Long,33435.7,17.4,581085.18,696,0.12,2989.32,0.51,-81.78,-0.01,31020.54,15.51
54,Entry long,2023-01-06 10:30,Long,33395.7,17.4,581085.18,696,0.12,2989.32,0.51,-81.78,-0.01,31020.54,15.51
55,Exit long,2023-01-13 11:30,Exit Long,34224.7,28.5,975321.3,82.65,0.01,1499.1,0.15,-1573.2,-0.16,31103.19,15.55
55,Entry long,2023-01-13 10:15,Long,34221.8,28.5,975321.3,82.65,0.01,1499.1,0.15,-1573.2,-0.16,31103.19,15.55
56,Exit long,2023-01-20 11:30,Exit Long,33188.9,30.2,1002223.24,81.54,0.01,1670.06,0.17,-610.04,-0.06,31184.73,15.59
56,Entry long,2023-01-20 11:00,Long,33186.2,30.2,1002223.24,81.54,0.01,1670.06,0.17,-610.04,-0.06,31184.73,15.59
57,Exit long,2023-01-24 11:00,Exit Long,33616.1,30.6,1028570.04,82.62,0.01,2350.08,0.23,-587.52,-0.06,31267.35,15.63
57,Entry long,2023-01-24 10:30,Long,33613.4,30.6,1028570.04,82.62,0.01,2350.08,0.23,-587.52,-0.06,31267.35,15.63
58,Exit long,2023-02-03 11:15,Exit Long,34121.3,23.1,788257.47,-55.44,-0.01,307.23,0.04,-1760.22,-0.22,31211.91,15.61
58,Entry long,2023-02-03 10:30,Long,34123.7,23.1,788257.47,-55.44,-0.01,307.23,0.04,-1760.22,-0.22,31211.91,15.61
59,Exit long,2023-02-10 10:30,Exit Long,33755.7,31.2,1053096.72,81.12,0.01,2162.16,0.21,-177.84,-0.02,31293.03,15.65
59,Entry long,2023-02-10 10:00,Long,33753.1,31.2,1053096.72,81.12,0.01,2162.16,0.21,-177.84,-0.02,31293.03,15.65
60,Exit long,2023-03-03 11:45,Exit Long,33170.7,36.8,1220600.8,80.96,0.01,1391.04,0.11,-412.16,-0.03,31373.99,15.69
60,Entry long,2023-03-03 11:15,Long,33168.5,36.8,1220600.8,80.96,0.01,1391.04,0.11,-412.16,-0.03,31373.99,15.69
61,Exit long,2023-03-05 18:00,Exit Long,33354.8,34.6,1150398.1,3677.98,0.32,5501.4,0.48,-975.72,-0.08,35051.97,17.53
