Trade #,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
177,Exit long,2025-12-16 10:15,Exit Long,25060.9,32,804476.8,-2528,-0.31,524.8,0.07,-2700.8,-0.34,427607.03,213.80
177,Entry long,2025-12-16 09:45,Long,25139.9,32,804476.8,-2528,-0.31,524.8,0.07,-2700.8,-0.34,427607.03,213.80
178,Exit long,2025-12-23 09:45,Exit Long,25462.3,72.4,1846243.44,-2772.92,-0.15,1520.4,0.08,-4010.96,-0.22,424834.12,212.42
178,Entry long,2025-12-23 09:30,Long,25500.6,72.4,1846243.44,-2772.92,-0.15,1520.4,0.08,-4010.96,-0.22,424834.12,212.42
179,Exit long,2025-12-23 15:30,Max Hold,25567.8,63.9,1632267.99,1514.43,0.09,2063.97,0.13,-1437.75,-0.09,426348.53,213.17
179,Entry long,2025-12-23 11:45,Long,25544.1,63.9,1632267.99,1514.43,0.09,2063.97,0.13,-1437.75,-0.09,426348.53,213.17
180,Exit long,2025-12-29 09:45,Exit Long,25511.9,54.2,1386587.76,-3842.78,-0.28,0,0.00,-4493.18,-0.32,422505.75,211.25
180,Entry long,2025-12-29 09:30,Long,25582.8,54.2,1386587.76,-3842.78,-0.28,0,0.00,-4493.18,-0.32,422505.75,211.25
181,Exit long,2025-12-30 10:00,Exit Long,25487.1,70.6,1803702.92,-4313.66,-0.24,247.1,0.01,-5118.5,-0.28,418192.1,209.10
181,Entry long,2025-12-30 09:45,Long,25548.2,70.6,1803702.92,-4313.66,-0.24,247.1,0.01,-5118.5,-0.28,418192.1,209.10
182,Exit long,2026-01-05 12:00,Exit Long,25452.7,44.8,1141486.08,-1205.12,-0.11,1532.16,0.13,-1612.8,-0.14,416986.97,208.49
182,Entry long,2026-01-05 10:15,Long,25479.6,44.8,1141486.08,-1205.12,-0.11,1532.16,0.13,-1612.8,-0.14,416986.97,208.49
183,Exit long,2026-01-06 10:30,Exit Long,25566.4,65.4,1671761.34,281.22,0.02,1667.7,0.10,-1654.62,-0.10,417268.2,208.63
183,Entry long,2026-01-06 09:45,Long,25562.1,65.4,1671761.34,281.22,0.02,1667.7,0.10,-1654.62,-0.10,417268.2,208.63
