analysis,panel_id,pass_rate,bust_rate,bust_inactivity_rate,horizon_cap_rate,p99_dd,p95_dd,half_id,n_bdays,n_blocks
bootstrap,28.0,0.9944999999999999,0.0055000000000000005,0.0,0.0,0.04930174887277194,0.039075666342294806,,,
bootstrap,29.0,0.999,0.001,0.0,0.0,0.04240610092343291,0.03308713185813258,,,
bootstrap,30.0,0.9959000000000001,0.0041,0.0,0.0,0.04735148000800969,0.036767668684203704,,,
bootstrap,31.0,0.9985333333333334,0.0014666666666666665,0.0,0.0,0.043540354871657146,0.033549438938812154,,,
bootstrap,32.0,0.9973333333333333,0.0026666666666666666,0.0,0.0,0.046754672431906785,0.036354348397919276,,,
bootstrap,33.0,0.9996333333333333,0.0003666666666666666,0.0,0.0,0.03803070818329426,0.030111492415223363,,,
bootstrap,34.0,0.9994333333333333,0.0005666666666666667,0.0,0.0,0.038418375299286614,0.030515690711123183,,,
bootstrap,35.0,0.9989333333333333,0.0010666666666666665,0.0,0.0,0.0403271174939638,0.03167012784183843,,,
bootstrap,36.0,0.9988666666666667,0.0011333333333333334,0.0,0.0,0.04281472521668819,0.033580294052005494,,,
bootstrap,37.0,0.9973000000000001,0.0026999999999999997,0.0,0.0,0.04530926324630805,0.03509134174258877,,,
bootstrap,38.0,0.9995666666666666,0.0004333333333333333,0.0,0.0,0.03915454108207198,0.031205248710204168,,,
bootstrap,39.0,0.9992000000000001,0.0007999999999999999,0.0,0.0,0.04083478204039811,0.03194992301417848,,,
bootstrap,40.0,0.9987,0.0013,0.0,0.0,0.04316881914189099,0.03398225170110171,,,
bootstrap,41.0,0.9956666666666667,0.004333333333333334,0.0,0.0,0.048633742416663586,0.03842239930032343,,,
bootstrap,42.0,0.9916,0.0084,0.0,0.0,0.05076296631077557,0.04193547400230881,,,
bootstrap,43.0,0.9989,0.0011,0.0,0.0,0.04175067054001679,0.032737712066112507,,,
bootstrap,44.0,0.9993,0.0007,0.0,0.0,0.038595802432422686,0.03042008141621061,,,
bootstrap,45.0,0.9978666666666666,0.002133333333333333,0.0,0.0,0.04456500693524413,0.0344959328400344,,,
bootstrap,46.0,0.9981333333333332,0.0018666666666666666,0.0,0.0,0.04432403858512007,0.03395387451304036,,,
bootstrap,47.0,0.9973,0.0026999999999999997,0.0,0.0,0.0458706784573182,0.035413844480584794,,,
bootstrap,48.0,0.9994666666666667,0.0005333333333333333,0.0,0.0,0.038635061609318025,0.030777060846209948,,,
bootstrap,49.0,0.9993333333333333,0.0006666666666666666,0.0,0.0,0.04038843257870853,0.03222750804147792,,,
bootstrap,50.0,0.9965666666666667,0.0034333333333333334,0.0,0.0,0.04759397089127916,0.03708900994129171,,,
bootstrap,51.0,0.9948333333333332,0.005166666666666667,0.0,0.0,0.04872916597895256,0.03741364863220406,,,
bootstrap,52.0,0.9993,0.0007,0.0,0.0,0.0405756916488532,0.03245282781705103,,,
bootstrap,53.0,0.9998999999999999,0.0001,0.0,0.0,0.034574321271032625,0.027293965351782537,,,
bootstrap,54.0,0.9991333333333333,0.0008666666666666666,0.0,0.0,0.03904208349924321,0.030465391457368242,,,
bootstrap,55.0,0.9994333333333333,0.0005666666666666667,0.0,0.0,0.03993894095952812,0.031607174775318644,,,
bootstrap,56.0,0.9997000000000001,0.0003,0.0,0.0,0.03757588600491721,0.02910804813113562,,,
bootstrap,57.0,0.9954000000000001,0.0046,0.0,0.0,0.0490427921427232,0.03834826317733477,,,
bootstrap,58.0,0.9992666666666666,0.0007333333333333332,0.0,0.0,0.03881759728033899,0.030320293706808634,,,
bootstrap,59.0,0.9979666666666667,0.002033333333333333,0.0,0.0,0.04454577972667454,0.03457946758461848,,,
bootstrap,60.0,0.9965666666666667,0.0034333333333333334,0.0,0.0,0.04735985080975321,0.037180472721808605,,,
bootstrap,61.0,0.9971,0.0029000000000000002,0.0,0.0,0.046238469934077216,0.0360087807695078,,,
bootstrap,62.0,0.9997000000000001,0.0003,0.0,0.0,0.0385122365792854,0.03078752062602003,,,
bootstrap,63.0,0.9987666666666667,0.0012333333333333332,0.0,0.0,0.04235555024360598,0.033541131294752204,,,
bootstrap,64.0,0.9914,0.0086,0.0,0.0,0.050118869840610134,0.041292526295802996,,,
bootstrap,65.0,0.9993333333333334,0.0006666666666666666,0.0,0.0,0.039905000807808795,0.031717401231524944,,,
