trade_num,signal,entry_dt_utc,entry_date_utc,net_pnl_usd,n_entries_that_day,gap_atr_signed,abs_gap_atr,gap_present,in_gap_p80,in_gap_p85,in_gap_p90,in_gap_p95
31,Long,2022-08-12 16:00:00,2022-08-12,4787.37,2,0.247217,0.247217,True,False,False,False,False
32,Long Add,2022-08-12 18:30:00,2022-08-12,3943.8,2,0.247217,0.247217,True,False,False,False,False
33,Long,2022-08-16 13:45:00,2022-08-16,71.2,2,-0.103759,0.103759,True,False,False,False,False
34,Long,2022-08-16 15:15:00,2022-08-16,1818.63,2,-0.103759,0.103759,True,False,False,False,False
35,Long,2022-09-02 14:30:00,2022-09-02,81.51,1,0.404316,0.404316,True,False,False,False,False
36,Long,2022-10-04 13:45:00,2022-10-04,78.9,1,0.579966,0.579966,True,True,True,False,False
37,Long,2022-10-11 14:30:00,2022-10-11,2833.6,2,-0.091307,0.091307,True,False,False,False,False
38,Long,2022-10-11 16:30:00,2022-10-11,-2210.76,2,-0.091307,0.091307,True,False,False,False,False
39,Long,2022-10-21 13:45:00,2022-10-21,82.56,3,-0.336138,0.336138,True,False,False,False,False
40,Long,2022-10-21 16:45:00,2022-10-21,5570.73,3,-0.336138,0.336138,True,False,False,False,False
41,Long Add,2022-10-21 19:15:00,2022-10-21,6956.34,3,-0.336138,0.336138,True,False,False,False,False
42,Long,2022-10-25 15:30:00,2022-10-25,-2318.2,1,-0.168677,0.168677,True,False,False,False,False
43,Long,2022-10-28 14:45:00,2022-10-28,85.56,3,0.129731,0.129731,True,False,False,False,False
44,Long,2022-10-28 16:15:00,2022-10-28,2972.9,3,0.129731,0.129731,True,False,False,False,False
45,Long Add,2022-10-28 18:30:00,2022-10-28,1194.77,3,0.129731,0.129731,True,False,False,False,False
46,Long,2022-11-04 14:00:00,2022-11-04,307.98,1,0.487823,0.487823,True,True,False,False,False
47,Long,2022-11-08 15:15:00,2022-11-08,1655.19,2,0.155132,0.155132,True,False,False,False,False
48,Long,2022-11-08 16:30:00,2022-11-08,84.0,2,0.155132,0.155132,True,False,False,False,False
49,Long,2022-11-22 15:00:00,2022-11-22,78.47,1,0.143643,0.143643,True,False,False,False,False
50,Long,2022-11-25 14:45:00,2022-11-25,70.4,1,0.117026,0.117026,True,False,False,False,False
51,Long,2022-11-29 15:15:00,2022-11-29,-2366.54,1,0.03569,0.03569,True,False,False,False,False
52,Long,2022-12-20 15:15:00,2022-12-20,82.94,1,0.007725,0.007725,True,False,False,False,False
53,Long,2023-01-06 13:45:00,2023-01-06,-2339.3,2,0.021397,0.021397,True,False,False,False,False
54,Long,2023-01-06 15:30:00,2023-01-06,696.0,2,0.021397,0.021397,True,False,False,False,False
55,Long,2023-01-13 15:15:00,2023-01-13,82.65,1,-0.588091,0.588091,True,True,True,False,False
56,Long,2023-01-20 16:00:00,2023-01-20,81.54,1,-0.002411,0.002411,True,False,False,False,False
57,Long,2023-01-24 15:30:00,2023-01-24,82.62,1,-0.231128,0.231128,True,False,False,False,False
58,Long,2023-02-03 15:30:00,2023-02-03,-55.44,1,0.017816,0.017816,True,False,False,False,False
59,Long,2023-02-10 15:00:00,2023-02-10,81.12,1,-0.406001,0.406001,True,False,False,False,False
60,Long,2023-03-03 16:15:00,2023-03-03,80.96,3,0.164105,0.164105,True,False,False,False,False
61,Long,2023-03-03 16:45:00,2023-03-03,3677.98,3,0.164105,0.164105,True,False,False,False,False
62,Long Add,2023-03-03 19:15:00,2023-03-03,1675.32,3,0.164105,0.164105,True,False,False,False,False
63,Long,2023-03-24 15:45:00,2023-03-24,90.24,1,-0.46348,0.46348,True,True,False,False,False
64,Long,2023-03-28 14:00:00,2023-03-28,-2386.8,1,-0.167477,0.167477,True,False,False,False,False
65,Long,2023-03-31 15:00:00,2023-03-31,3756.83,1,0.243965,0.243965,True,False,False,False,False
66,Long,2023-04-11 14:15:00,2023-04-11,-3176.96,2,-0.049059,0.049059,True,False,False,False,False
67,Long,2023-04-11 15:15:00,2023-04-11,943.92,2,-0.049059,0.049059,True,False,False,False,False
68,Long,2023-04-28 13:45:00,2023-04-28,4699.62,3,-0.320908,0.320908,True,False,False,False,False
69,Long,2023-04-28 15:45:00,2023-04-28,85.28,3,-0.320908,0.320908,True,False,False,False,False
70,Long,2023-04-28 16:45:00,2023-04-28,-2419.2,3,-0.320908,0.320908,True,False,False,False,False
71,Long,2023-05-09 13:45:00,2023-05-09,-3546.87,1,-0.249929,0.249929,True,False,False,False,False
72,Long,2023-05-26 14:15:00,2023-05-26,-2351.97,1,0.142563,0.142563,True,False,False,False,False
73,Long,2023-06-02 14:00:00,2023-06-02,7766.25,2,0.433905,0.433905,True,False,False,False,False
74,Long Add,2023-06-02 15:30:00,2023-06-02,12227.02,2,0.433905,0.433905,True,False,False,False,False
75,Long,2023-06-06 14:45:00,2023-06-06,-2991.45,1,-0.065297,0.065297,True,False,False,False,False
76,Long,2023-06-09 14:00:00,2023-06-09,75.4,1,-0.095225,0.095225,True,False,False,False,False
77,Long,2023-06-27 15:30:00,2023-06-27,3221.64,2,-0.212422,0.212422,True,False,False,False,False
78,Long Add,2023-06-27 17:15:00,2023-06-27,1831.5,2,-0.212422,0.212422,True,False,False,False,False
79,Long,2023-07-07 16:30:00,2023-07-07,84.24,1,-0.194742,0.194742,True,False,False,False,False
80,Long,2023-07-11 15:45:00,2023-07-11,82.4,1,0.503327,0.503327,True,True,False,False,False
81,Long,2023-07-18 13:45:00,2023-07-18,81.44,3,-0.033456,0.033456,True,False,False,False,False
82,Long,2023-07-18 14:15:00,2023-07-18,5963.7,3,-0.033456,0.033456,True,False,False,False,False
83,Long Add,2023-07-18 15:45:00,2023-07-18,-6022.02,3,-0.033456,0.033456,True,False,False,False,False
84,Long,2023-07-25 15:30:00,2023-07-25,72.5,2,-0.018959,0.018959,True,False,False,False,False
85,Long,2023-07-25 16:45:00,2023-07-25,73.4,2,-0.018959,0.018959,True,False,False,False,False
86,Long,2023-08-01 13:45:00,2023-08-01,-2863.22,1,-0.48166,0.48166,True,True,False,False,False
87,Long,2023-08-04 14:30:00,2023-08-04,44.07,2,0.131218,0.131218,True,False,False,False,False
88,Long,2023-08-04 16:30:00,2023-08-04,-2531.69,2,0.131218,0.131218,True,False,False,False,False
89,Long,2023-08-11 14:15:00,2023-08-11,87.36,1,-0.304414,0.304414,True,False,False,False,False
90,Long,2023-08-18 15:00:00,2023-08-18,87.17,1,-0.499421,0.499421,True,True,False,False,False
91,Long,2023-08-29 14:00:00,2023-08-29,79.35,2,-0.162041,0.162041,True,False,False,False,False
92,Long,2023-08-29 15:30:00,2023-08-29,85.0,2,-0.162041,0.162041,True,False,False,False,False
93,Long,2023-09-08 14:00:00,2023-09-08,766.25,1,-0.181039,0.181039,True,False,False,False,False
94,Long,2023-09-12 15:15:00,2023-09-12,7837.32,2,-0.2389,0.2389,True,False,False,False,False
95,Long Add,2023-09-12 16:45:00,2023-09-12,11742.0,2,-0.2389,0.2389,True,False,False,False,False
96,Long,2023-10-06 15:15:00,2023-10-06,2711.36,1,-0.599121,0.599121,True,True,True,False,False
97,Long,2023-10-10 14:00:00,2023-10-10,90.44,3,0.202346,0.202346,True,False,False,False,False
98,Long,2023-10-10 15:00:00,2023-10-10,95.26,3,0.202346,0.202346,True,False,False,False,False
99,Long,2023-10-10 15:45:00,2023-10-10,-2747.7,3,0.202346,0.202346,True,False,False,False,False
100,Long,2023-10-17 15:15:00,2023-10-17,3889.92,1,-0.326736,0.326736,True,False,False,False,False
101,Long,2023-10-31 16:30:00,2023-10-31,366.76,1,-0.030156,0.030156,True,False,False,False,False
102,Long,2023-11-03 16:00:00,2023-11-03,94.2,1,0.403967,0.403967,True,False,False,False,False
103,Long,2023-11-07 15:00:00,2023-11-07,3216.93,2,-0.225696,0.225696,True,False,False,False,False
104,Long,2023-11-07 16:30:00,2023-11-07,-2802.88,2,-0.225696,0.225696,True,False,False,False,False
105,Long,2023-11-14 15:15:00,2023-11-14,496.4,1,0.004996,0.004996,True,False,False,False,False
106,Long,2023-11-24 15:15:00,2023-11-24,76.4,1,0.297749,0.297749,True,False,False,False,False
107,Long,2023-11-28 15:30:00,2023-11-28,1139.06,1,-0.119334,0.119334,True,False,False,False,False
108,Long,2023-12-01 16:30:00,2023-12-01,94.08,1,-0.058802,0.058802,True,False,False,False,False
109,Long,2023-12-19 14:45:00,2023-12-19,3979.17,2,0.437245,0.437245,True,False,False,False,False
110,Long Add,2023-12-19 16:15:00,2023-12-19,-6510.94,2,0.437245,0.437245,True,False,False,False,False
111,Long,2024-01-02 16:45:00,2024-01-02,93.29,1,-0.715371,0.715371,True,True,True,True,False
112,Long,2024-01-05 14:15:00,2024-01-05,4744.22,1,-0.410279,0.410279,True,False,False,False,False
113,Long,2024-01-26 14:30:00,2024-01-26,-2811.9,2,-0.03022,0.03022,True,False,False,False,False
114,Long,2024-01-26 15:15:00,2024-01-26,1364.84,2,-0.03022,0.03022,True,False,False,False,False
115,Long,2024-01-30 16:15:00,2024-01-30,1463.06,1,-0.085525,0.085525,True,False,False,False,False
116,Long,2024-03-01 15:15:00,2024-03-01,83.2,1,-0.105791,0.105791,True,False,False,False,False
117,Long,2024-03-08 14:45:00,2024-03-08,-2811.06,1,-0.376436,0.376436,True,False,False,False,False
118,Long,2024-03-12 14:30:00,2024-03-12,-2770.2,1,0.192999,0.192999,True,False,False,False,False
119,Long,2024-03-19 14:30:00,2024-03-19,7671.58,2,-0.11487,0.11487,True,False,False,False,False
120,Long Add,2024-03-19 16:00:00,2024-03-19,16271.36,2,-0.11487,0.11487,True,False,False,False,False
121,Long,2024-04-05 14:45:00,2024-04-05,-2991.12,2,0.161839,0.161839,True,False,False,False,False
122,Long,2024-04-05 15:30:00,2024-04-05,1236.3,2,0.161839,0.161839,True,False,False,False,False
123,Long,2024-04-23 14:30:00,2024-04-23,101.01,1,0.21245,0.21245,True,False,False,False,False
124,Long,2024-04-26 14:00:00,2024-04-26,-2974.7,2,0.003103,0.003103,True,False,False,False,False
125,Long,2024-04-26 16:45:00,2024-04-26,-3221.12,2,0.003103,0.003103,True,False,False,False,False
126,Long,2024-05-07 14:00:00,2024-05-07,84.7,1,0.10333,0.10333,True,False,False,False,False
127,Long,2024-05-21 14:00:00,2024-05-21,82.2,1,0.033004,0.033004,True,False,False,False,False
128,Long,2024-05-24 15:00:00,2024-05-24,-2915.01,1,0.219506,0.219506,True,False,False,False,False
129,Long,2024-06-04 13:45:00,2024-06-04,-101.01,1,-0.248419,0.248419,True,False,False,False,False
130,Long,2024-06-07 14:15:00,2024-06-07,1296.88,1,-0.397523,0.397523,True,False,False,False,False
131,Long,2024-06-21 14:00:00,2024-06-21,101.2,1,-0.021122,0.021122,True,False,False,False,False
132,Long,2024-07-09 16:15:00,2024-07-09,4188.24,1,-0.050532,0.050532,True,False,False,False,False
133,Long,2024-07-12 14:15:00,2024-07-12,-247.86,3,0.225349,0.225349,True,False,False,False,False
134,Long,2024-07-12 14:45:00,2024-07-12,2235.04,3,0.225349,0.225349,True,False,False,False,False
135,Long,2024-07-12 16:45:00,2024-07-12,4318.02,3,0.225349,0.225349,True,False,False,False,False
136,Long,2024-07-16 13:45:00,2024-07-16,5651.1,2,0.394476,0.394476,True,False,False,False,False
137,Long Add,2024-07-16 15:15:00,2024-07-16,-5220.0,2,0.394476,0.394476,True,False,False,False,False
138,Long,2024-07-26 13:45:00,2024-07-26,1045.2,2,0.451316,0.451316,True,False,False,False,False
139,Long,2024-07-26 15:45:00,2024-07-26,915.06,2,0.451316,0.451316,True,False,False,False,False
140,Long,2024-08-06 14:00:00,2024-08-06,162.64,1,-0.023685,0.023685,True,False,False,False,False
141,Long,2024-08-13 16:45:00,2024-08-13,-3030.24,1,0.180698,0.180698,True,False,False,False,False
142,Long,2024-08-16 16:45:00,2024-08-16,102.2,1,-0.216365,0.216365,True,False,False,False,False
143,Long,2024-09-13 13:45:00,2024-09-13,102.52,3,0.220364,0.220364,True,False,False,False,False
144,Long,2024-09-13 14:30:00,2024-09-13,-2995.92,3,0.220364,0.220364,True,False,False,False,False
145,Long,2024-09-13 15:30:00,2024-09-13,109.82,3,0.220364,0.220364,True,False,False,False,False
146,Long,2024-09-17 14:15:00,2024-09-17,-2974.16,1,0.335548,0.335548,True,False,False,False,False
147,Long,2024-09-20 16:30:00,2024-09-20,102.25,1,0.012053,0.012053,True,False,False,False,False
148,Long,2024-09-27 14:00:00,2024-09-27,7752.07,1,0.235027,0.235027,True,False,False,False,False
149,Long,2024-10-11 14:00:00,2024-10-11,3431.32,2,-0.055188,0.055188,True,False,False,False,False
150,Long Add,2024-10-11 15:30:00,2024-10-11,-7079.27,2,-0.055188,0.055188,True,False,False,False,False
151,Long,2024-10-18 16:30:00,2024-10-18,102.0,1,-0.235372,0.235372,True,False,False,False,False
152,Long,2024-10-22 15:00:00,2024-10-22,102.12,2,-0.472513,0.472513,True,True,False,False,False
153,Long,2024-10-22 16:30:00,2024-10-22,103.32,2,-0.472513,0.472513,True,True,False,False,False
154,Long,2024-11-01 14:15:00,2024-11-01,-3967.44,2,0.625426,0.625426,True,True,True,True,False
155,Long,2024-11-01 15:15:00,2024-11-01,-2941.76,2,0.625426,0.625426,True,True,True,True,False
156,Long,2024-11-05 14:45:00,2024-11-05,5732.4,1,0.056706,0.056706,True,False,False,False,False
157,Long,2024-11-08 15:15:00,2024-11-08,1919.81,1,0.012415,0.012415,True,False,False,False,False
158,Long,2024-11-12 14:30:00,2024-11-12,-5297.4,1,-0.086952,0.086952,True,False,False,False,False
159,Long,2024-11-19 16:15:00,2024-11-19,108.04,1,-0.3884,0.3884,True,False,False,False,False
160,Long,2024-11-29 15:45:00,2024-11-29,5392.05,2,0.274001,0.274001,True,False,False,False,False
161,Long Add,2024-11-29 17:15:00,2024-11-29,-4561.59,2,0.274001,0.274001,True,False,False,False,False
162,Long,2024-12-10 15:45:00,2024-12-10,100.76,1,-0.168605,0.168605,True,False,False,False,False
163,Long,2024-12-20 15:15:00,2024-12-20,14008.32,2,-0.537949,0.537949,True,True,True,False,False
164,Long Add,2024-12-20 16:45:00,2024-12-20,2170.74,2,-0.537949,0.537949,True,True,True,False,False
165,Long,2024-12-24 16:30:00,2024-12-24,1026.63,1,-0.071356,0.071356,True,False,False,False,False
166,Long,2025-01-17 15:45:00,2025-01-17,1540.59,1,0.526783,0.526783,True,True,True,False,False
167,Long,2025-01-28 15:30:00,2025-01-28,113.13,1,0.01148,0.01148,True,False,False,False,False
168,Long,2025-02-07 14:45:00,2025-02-07,-11870.65,1,0.179846,0.179846,True,False,False,False,False
169,Long,2025-02-11 15:30:00,2025-02-11,1386.0,1,-0.134715,0.134715,True,False,False,False,False
170,Long,2025-03-14 14:45:00,2025-03-14,760.76,1,0.301625,0.301625,True,False,False,False,False
171,Long,2025-03-21 16:15:00,2025-03-21,114.84,1,-0.504071,0.504071,True,True,False,False,False
172,Long,2025-04-01 14:45:00,2025-04-01,1310.18,1,-0.29255,0.29255,True,False,False,False,False
173,Long,2025-04-22 14:30:00,2025-04-22,623.2,2,0.254116,0.254116,True,False,False,False,False
174,Long,2025-04-22 16:00:00,2025-04-22,114.38,2,0.254116,0.254116,True,False,False,False,False
175,Long,2025-04-29 14:45:00,2025-04-29,-3055.0,1,0.116465,0.116465,True,False,False,False,False
176,Long,2025-05-02 16:00:00,2025-05-02,-3032.39,1,0.611941,0.611941,True,True,True,False,False
177,Long,2025-05-16 16:30:00,2025-05-16,5330.0,2,0.070707,0.070707,True,False,False,False,False
178,Long Add,2025-05-16 18:00:00,2025-05-16,6246.6,2,0.070707,0.070707,True,False,False,False,False
179,Long,2025-05-27 15:30:00,2025-05-27,3701.45,2,0.041574,0.041574,True,False,False,False,False
180,Long Add,2025-05-27 17:45:00,2025-05-27,-4012.4,2,0.041574,0.041574,True,False,False,False,False
181,Long,2025-06-03 15:00:00,2025-06-03,5769.75,2,-0.158042,0.158042,True,False,False,False,False
182,Long Add,2025-06-03 16:30:00,2025-06-03,4073.03,2,-0.158042,0.158042,True,False,False,False,False
183,Long,2025-06-27 13:45:00,2025-06-27,22644.88,3,0.271623,0.271623,True,False,False,False,False
184,Long Add,2025-06-27 15:15:00,2025-06-27,43847.32,3,0.271623,0.271623,True,False,False,False,False
185,Long,2025-06-27 16:15:00,2025-06-27,-3893.29,3,0.271623,0.271623,True,False,False,False,False
186,Long,2025-07-01 14:00:00,2025-07-01,15054.12,2,-0.005942,0.005942,True,False,False,False,False
187,Long,2025-07-01 16:00:00,2025-07-01,-3991.55,2,-0.005942,0.005942,True,False,False,False,False
188,Long,2025-08-12 14:00:00,2025-08-12,147.63,1,0.576762,0.576762,True,True,True,False,False
189,Long,2025-08-19 14:15:00,2025-08-19,-3962.64,1,0.21621,0.21621,True,False,False,False,False
190,Long,2025-08-22 14:45:00,2025-08-22,246.35,1,0.252082,0.252082,True,False,False,False,False
191,Long,2025-09-09 15:15:00,2025-09-09,-3923.12,1,0.137521,0.137521,True,False,False,False,False
192,Long,2025-09-23 13:45:00,2025-09-23,-3894.56,1,0.190552,0.190552,True,False,False,False,False
193,Long,2025-10-03 13:45:00,2025-10-03,13912.94,2,0.152307,0.152307,True,False,False,False,False
194,Long,2025-10-03 16:00:00,2025-10-03,143.1,2,0.152307,0.152307,True,False,False,False,False
195,Long,2025-10-14 14:15:00,2025-10-14,13930.2,2,-0.815693,0.815693,True,True,True,True,True
196,Long Add,2025-10-14 15:45:00,2025-10-14,15953.7,2,-0.815693,0.815693,True,True,True,True,True
197,Long,2025-10-21 14:30:00,2025-10-21,8123.22,1,-0.073277,0.073277,True,False,False,False,False
198,Long,2025-10-24 13:45:00,2025-10-24,-4367.49,1,0.354391,0.354391,True,False,False,False,False
199,Long,2025-11-04 14:45:00,2025-11-04,2983.56,1,-0.643866,0.643866,True,True,True,True,False
200,Long,2025-11-11 16:45:00,2025-11-11,11561.55,2,-0.055318,0.055318,True,False,False,False,False
201,Long Add,2025-11-11 18:15:00,2025-11-11,-10197.2,2,-0.055318,0.055318,True,False,False,False,False
202,Long,2025-11-14 16:15:00,2025-11-14,165.6,1,-0.768077,0.768077,True,True,True,True,True
203,Long,2025-11-21 16:15:00,2025-11-21,7758.72,1,0.467249,0.467249,True,True,False,False,False
204,Long,2025-11-25 15:30:00,2025-11-25,168.0,3,-0.060765,0.060765,True,False,False,False,False
205,Long,2025-11-25 16:45:00,2025-11-25,12883.14,3,-0.060765,0.060765,True,False,False,False,False
206,Long Add,2025-11-25 19:00:00,2025-11-25,28392.32,3,-0.060765,0.060765,True,False,False,False,False
207,Long,2025-11-28 15:15:00,2025-11-28,1268.36,1,-0.018182,0.018182,True,False,False,False,False
208,Long,2025-12-02 15:00:00,2025-12-02,-7767.76,1,0.079851,0.079851,True,False,False,False,False
209,Long,2025-12-05 15:00:00,2025-12-05,-4798.14,1,0.126484,0.126484,True,False,False,False,False
210,Long,2025-12-09 14:30:00,2025-12-09,2715.66,1,0.032635,0.032635,True,False,False,False,False
211,Long,2025-12-23 15:30:00,2025-12-23,971.14,1,-0.073599,0.073599,True,False,False,False,False
212,Long,2026-01-06 14:30:00,2026-01-06,9199.89,3,-0.157573,0.157573,True,False,False,False,False
213,Long,2026-01-06 16:15:00,2026-01-06,13917.12,3,-0.157573,0.157573,True,False,False,False,False
214,Long Add,2026-01-06 17:45:00,2026-01-06,8001.28,3,-0.157573,0.157573,True,False,False,False,False
215,Long,2026-01-09 16:45:00,2026-01-09,161.84,1,0.032285,0.032285,True,False,False,False,False
216,Long,2026-01-20 15:30:00,2026-01-20,-5093.79,1,-1.236696,1.236696,True,True,True,True,True
217,Long,2026-02-06 15:30:00,2026-02-06,15549.45,2,0.421458,0.421458,True,False,False,False,False
218,Long Add,2026-02-06 17:45:00,2026-02-06,30517.23,2,0.421458,0.421458,True,False,False,False,False
219,Long,2026-02-10 14:30:00,2026-02-10,10237.28,1,-0.142707,0.142707,True,False,False,False,False
220,Long,2026-03-10 14:45:00,2026-03-10,217.16,1,-0.115088,0.115088,True,False,False,False,False
221,Long,2026-03-24 15:15:00,2026-03-24,-5587.82,1,-0.29345,0.29345,True,False,False,False,False
222,Long,2026-03-31 16:30:00,2026-03-31,-23.49,1,0.615189,0.615189,True,True,True,False,False
223,Long,2026-04-17 13:45:00,2026-04-17,9642.5,2,0.845166,0.845166,True,True,True,True,True
224,Long,2026-04-17 15:45:00,2026-04-17,211.95,2,0.845166,0.845166,True,True,True,True,True
