month,n_bars,atr14_mean,atr14_median,atr14_p95,ret_std,ret_p99_abs,range_exp_freq,n_session_opens,gap_abs_mean,gap_abs_max,session_gap_n,session_gap_mean,session_gap_p95,session_gap_max,instrument,feed,panel_window,canonical_status
2023-04,1932,0.10656160874627175,0.0994759537488909,0.17147619316627302,0.0006518082163362253,0.002286754118367821,0.12629399585921325,5,0.003787500000000163,0.4849999999999852,5,0.15600000000000022,0.4095999999999889,0.4849999999999852,USDJPY,OANDA,2022-01-02_2026-04-19,PROXY
2023-05,2208,0.1021366342785406,0.09534388553827872,0.16881127912388633,0.0005861231055634513,0.0021569792640905253,0.12228260869565218,4,0.003219018404907705,0.15799999999998704,4,0.03300000000000125,0.053199999999995376,0.057999999999992724,USDJPY,OANDA,2022-01-02_2026-04-19,PROXY
2023-06,2100,0.10048975217101713,0.09355069394294976,0.1606025466592443,0.0005181081506282942,0.0017018263249286702,0.1219047619047619,4,0.0035110073382258852,0.22100000000000364,4,0.06774999999998244,0.13479999999998282,0.13899999999998158,USDJPY,OANDA,2022-01-02_2026-04-19,PROXY
2023-07,2028,0.12550568042030316,0.11521006432199918,0.22287253818732275,0.0007332749393811044,0.0025391449481984756,0.13560157790927022,5,0.0032823529411770574,0.15900000000002024,5,0.08840000000000145,0.15420000000001435,0.15900000000002024,USDJPY,OANDA,2022-01-02_2026-04-19,PROXY
2023-08,2208,0.09572684380281199,0.09020421464428827,0.15617978716390393,0.00048070393996400466,0.001690691412625455,0.12635869565217392,4,0.0026783625730995536,0.0800000000000125,4,0.060750000000005855,0.0800000000000125,0.0800000000000125,USDJPY,OANDA,2022-01-02_2026-04-19,PROXY
2023-09,2004,0.08068975074508629,0.07410769107326487,0.14497417328721082,0.0004142985533229671,0.001409394252342192,0.12275449101796407,4,0.0034581529581532086,0.7779999999999916,4,0.2709999999999866,0.6804999999999906,0.7779999999999916,USDJPY,OANDA,2022-01-02_2026-04-19,PROXY
2023-10,2124,0.06941028178091095,0.06263647874276662,0.12361885873491817,0.00036510918123385644,0.001157407879369701,0.10828625235404897,5,0.0031998644986450915,0.2540000000000191,5,0.15380000000000676,0.2426000000000158,0.2540000000000191,USDJPY,OANDA,2022-01-02_2026-04-19,PROXY
2023-11,2108,0.09100900331585625,0.08320366244267965,0.1589943370752331,0.0004877936406723528,0.001690165826222944,0.13092979127134724,4,0.00265226198514494,0.117999999999995,4,0.01824999999999477,0.040199999999990146,0.044999999999987494,USDJPY,OANDA,2022-01-02_2026-04-19,PROXY
2023-12,1912,0.1403591590577371,0.12158473013219079,0.27587161448173814,0.0007287044638009346,0.002388095526223354,0.11297071129707113,4,0.0032793807178044007,0.11899999999999977,4,0.06700000000000728,0.10840000000000741,0.1150000000000091,USDJPY,OANDA,2022-01-02_2026-04-19,PROXY
2024-01,2120,0.11676481149281731,0.1075977960294354,0.189281275082611,0.0006058240575353742,0.0021732844155885394,0.12075471698113208,5,0.0032637075718011956,0.1769999999999925,5,0.08380000000000223,0.16599999999999682,0.1769999999999925,USDJPY,OANDA,2022-01-02_2026-04-19,PROXY
2024-02,2016,0.07928898474170416,0.07130857571392629,0.14261581101429377,0.0004192640469794519,0.0013743615451614912,0.11061507936507936,4,0.0026060181945414514,0.21600000000000819,4,0.03675000000001205,0.07450000000000755,0.07900000000000773,USDJPY,OANDA,2022-01-02_2026-04-19,PROXY
2024-03,2020,0.08829197439749062,0.08049464326231805,0.15249292329507205,0.0004420532868608904,0.0014083653333874955,0.12029702970297029,5,0.002603268945022577,0.0730000000000075,5,0.044200000000000725,0.06419999999999959,0.06499999999999773,USDJPY,OANDA,2022-01-02_2026-04-19,PROXY
2024-04,2112,0.08080927094111033,0.061698911956516,0.1782183742079966,0.000581778498938319,0.001950080243062561,0.11647727272727272,4,0.0028989071038254665,0.4329999999999927,4,0.17524999999999835,0.40224999999999506,0.4329999999999927,USDJPY,OANDA,2022-01-02_2026-04-19,PROXY
2024-05,2185,0.0917412185792054,0.07301860267716545,0.2061021285213629,0.0005497729218914495,0.0017377579469646473,0.12265446224256293,5,0.0032245161290316835,0.3060000000000116,5,0.050999999999993405,0.08379999999999085,0.08799999999999386,USDJPY,OANDA,2022-01-02_2026-04-19,PROXY
2024-06,1932,0.0896935862394131,0.08206516274608167,0.17323809761811432,0.00047517518991536646,0.001573843190329801,0.12318840579710146,5,0.002700665188470316,0.08699999999998909,5,0.05059999999999718,0.08339999999998894,0.08699999999998909,USDJPY,OANDA,2022-01-02_2026-04-19,PROXY
2024-07,2208,0.13310941290161493,0.10935427224558998,0.29081296515424365,0.0008207376641660176,0.0026434347156640823,0.1308876811594203,4,0.003153328850033391,0.24099999999998545,4,0.09149999999999636,0.21339999999998577,0.24099999999998545,USDJPY,OANDA,2022-01-02_2026-04-19,PROXY
2024-08,2100,0.1936352696553486,0.16333711858838362,0.4306476874116653,0.0010186566763433049,0.0032311604508052537,0.11428571428571428,4,0.0033460508701471953,0.18299999999999272,4,0.05774999999999153,0.12759999999999533,0.1419999999999959,USDJPY,OANDA,2022-01-02_2026-04-19,PROXY
2024-09,2028,0.16655307429182434,0.1560879231282723,0.26202478261009954,0.0008973217416565375,0.0027575613358937555,0.11735700197238659,5,0.002965240641711102,0.12199999999998568,5,0.04840000000000373,0.1108000000000004,0.11899999999999977,USDJPY,OANDA,2022-01-02_2026-04-19,PROXY
2024-10,2208,0.11972750399716407,0.11119553953481197,0.19856495755471854,0.0006135327689912871,0.0016754169873009223,0.1082427536231884,4,0.0028846416382253136,0.9029999999999916,4,0.24774999999999636,0.7751999999999907,0.9029999999999916,USDJPY,OANDA,2022-01-02_2026-04-19,PROXY
