exit_reason,pnl_price,bars_held,atr_at_entry,mfe_price,mae_price,mfe_R,mae_R,sim_R,sim_pnl_pct,timestamp_utc,block_TueH10,block_EOM,block_session,block_hour,block_day,block_vol,strategy,block_TueH10_cohort_n,block_EOM_cohort_n,block_session_cohort_n,block_hour_cohort_n,block_day_cohort_n,block_vol_cohort_n,thin_cohort_any,feed,panel_window,canonical_status,simulation_simplifications
stop_or_be,0.022142699261877397,2,0.14761799507915163,0.051000000000016144,0.13599999999999568,0.2433002354387772,0.6488006278365133,0.1056338028169236,0.1584507042253854,2023-02-02T12:15:00+00:00,0,0,1,0,1,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.022287820353341203,1,0.148585469022354,0.07500000000001705,0.04800000000000182,0.3554647823638572,0.2274974607128255,0.10563380281684502,0.15845070422526752,2023-02-02T12:30:00+00:00,0,0,1,0,1,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.022085829808446533,1,0.14723886538959952,0.07699999999999818,0.044999999999987494,0.3682815129632552,0.2152294556278217,0.10563380281693302,0.15845070422539953,2023-02-02T12:45:00+00:00,0,0,1,0,1,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.023071492681253858,1,0.15380995120839291,0.06499999999999773,0.13999999999998636,0.29760524288382045,0.6409959077497271,0.10563380281687816,0.15845070422531723,2023-02-02T13:15:00+00:00,0,0,1,0,1,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.015499217223123196,1,0.1033281148209006,0.05000000000001137,0.0519999999999925,0.34077141218219037,0.35440226866934627,0.10563380281682036,0.15845070422523055,2023-02-03T00:15:00+00:00,0,0,1,0,1,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.015488732106121006,1,0.1032582140408534,0.08799999999999386,0.018000000000000682,0.6001636921726387,0.12276075521714384,0.10563380281685364,0.15845070422528046,2023-02-03T00:30:00+00:00,0,0,1,0,1,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.0150052632252482,1,0.10003508816832256,0.060000000000002274,0.04099999999999682,0.4223870034048944,0.2886311189933111,0.10563380281690013,0.15845070422535018,2023-02-03T03:00:00+00:00,0,0,1,0,1,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-0.12311904597848411,6,0.08670355350598154,0.014999999999986358,0.15000000000000568,0.12183330272561185,1.2183330272572728,-0.9999999999999214,-1.499999999999882,2023-02-03T10:15:00+00:00,0,0,1,0,1,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.012913136550849913,2,0.08608757700566613,0.03499999999999659,0.03300000000001546,0.28631177901916066,0.26995110593250427,0.10563380281690135,0.158450704225352,2023-02-03T10:30:00+00:00,0,0,1,0,1,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.01267560304816584,2,0.084504020321158,0.030000000000001137,0.018000000000000682,0.2500089402029479,0.15000536412176874,0.10563380281683592,0.15845070422525387,2023-02-03T10:45:00+00:00,0,0,1,0,1,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.011990723856570185,1,0.07993815904380688,0.03899999999998727,0.008000000000009777,0.34357544708196786,0.07047701478615383,0.10563380281689395,0.15845070422534094,2023-02-03T12:00:00+00:00,0,0,1,0,1,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.02033261818124288,3,0.1355507878749496,0.056000000000011596,0.057999999999992724,0.29093611580258544,0.3013266913668633,0.1056338028169037,0.15845070422535554,2023-02-06T19:00:00+00:00,0,0,1,0,0,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.01987826985592278,1,0.1325217990394261,0.06399999999999295,0.003999999999990678,0.34009817903088957,0.0212561361893834,0.10563380281694852,0.1584507042254228,2023-02-06T19:15:00+00:00,0,0,1,0,0,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.01445063905359234,1,0.09633759369068627,0.04999999999998295,0.04200000000000159,0.3654987243990707,0.30701892849533574,0.10563380281682393,0.15845070422523588,2023-02-07T00:15:00+00:00,0,0,1,0,0,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.014416394892890594,1,0.0961092992859125,0.14400000000000546,0.038000000000010914,1.0551367188990985,0.27843885637622046,0.10563380281692866,0.15845070422539298,2023-02-07T00:30:00+00:00,0,0,1,0,0,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.015946568744027445,1,0.10631045829354804,0.05299999999999727,0.03999999999999204,0.3510844018648642,0.26496935989797166,0.10563380281686988,0.15845070422530483,2023-02-07T01:15:00+00:00,0,0,1,0,0,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.016405092169151203,1,0.10936728112772642,0.08599999999998431,0.0,0.5537614143570885,0.0,0.10563380281685145,0.15845070422527718,2023-02-07T01:45:00+00:00,0,0,1,0,0,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.014355151573056446,2,0.09570101048705822,0.038000000000010914,0.055999999999983174,0.2796267588408405,0.41208153934415437,0.10563380281688457,0.15845070422532687,2023-02-07T06:00:00+00:00,0,0,1,0,0,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-0.1350209383183767,2,0.0950851678298448,0.02199999999999136,0.1419999999999959,0.16293769154614612,1.0516887363436895,-0.9999999999999785,-1.4999999999999676,2023-02-07T06:15:00+00:00,0,0,1,0,0,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.014618391015318366,1,0.09745594010213116,0.08799999999999386,0.10800000000000409,0.6358958819848887,0.7804176733451746,0.10563380281689197,0.15845070422533797,2023-02-07T06:45:00+00:00,0,0,1,0,0,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-0.18006744828724663,1,0.12680806217411753,0.012000000000000455,0.2680000000000007,0.06664169517667533,1.4883311922790297,-0.9999999999999987,-1.499999999999998,2023-02-07T08:15:00+00:00,0,0,1,0,0,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.0202306193615982,1,0.13487079574390087,0.12000000000000455,0.06799999999998363,0.6265777686519353,0.35506073556933104,0.10563380281696966,0.1584507042254545,2023-02-07T08:30:00+00:00,0,0,1,0,0,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.020650060447820806,1,0.137667069652116,0.043000000000006366,0.12699999999998113,0.21996320701363975,0.6496587742028828,0.10563380281691884,0.15845070422537827,2023-02-07T08:45:00+00:00,0,0,1,0,0,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.020905320424247975,2,0.1393688028283198,0.07999999999998408,0.10600000000002296,0.4042370101894494,0.5356140385012431,0.10563380281690145,0.15845070422535218,2023-02-07T09:00:00+00:00,0,0,1,0,0,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.020783987770329304,1,0.13855991846893578,0.14099999999999113,0.021000000000015007,0.7166269708086075,0.10673167650349262,0.10563380281684519,0.15845070422526777,2023-02-07T09:15:00+00:00,0,0,1,0,0,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-0.21095306942675052,1,0.1485584995963094,0.005000000000023874,0.4359999999999786,0.023701954247979412,2.0668104104138347,-0.9999999999999581,-1.4999999999999372,2023-02-07T15:30:00+00:00,1,0,0,0,0,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.024592523626836282,1,0.16395015751229325,0.103999999999985,0.1150000000000091,0.44671769598157374,0.49396668305665825,0.10563380281686832,0.1584507042253025,2023-02-07T15:45:00+00:00,1,0,0,1,0,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.025027127646495728,1,0.16684751764322486,0.09899999999998954,0.09100000000000819,0.41785644068273375,0.3840902636579415,0.10563380281695206,0.1584507042254281,2023-02-07T16:00:00+00:00,0,0,0,1,0,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-0.1816853831267622,2,0.1279474529061727,0.0010000000000047748,0.20499999999998408,0.005504020096691303,1.128324119816242,-0.9999999999999832,-1.499999999999975,2023-02-08T00:00:00+00:00,0,0,1,0,0,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.019224111728760818,3,0.12816074485847967,0.04099999999999682,0.17099999999999227,0.22528926051811332,0.9396210621609421,0.10563380281684025,0.15845070422526036,2023-02-08T00:15:00+00:00,0,0,1,0,0,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.01932547426935116,1,0.12883649512908554,0.117999999999995,0.06099999999997863,0.6449926433192166,0.3334284003598313,0.10563380281683762,0.15845070422525642,2023-02-08T00:30:00+00:00,0,0,1,0,0,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.0197215019393866,1,0.1314766795959744,0.07699999999999818,0.049000000000006594,0.4124332336297841,0.26245751230990416,0.10563380281685021,0.15845070422527532,2023-02-08T00:45:00+00:00,0,0,1,0,0,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.019241730662145073,1,0.12827820441438229,0.1220000000000141,0.04599999999999227,0.6697590861205082,0.2525321144388085,0.10563380281683406,0.1584507042252511,2023-02-08T07:45:00+00:00,0,0,1,0,0,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.019555323785198198,2,0.1303688252346783,0.058000000000021146,0.12299999999999045,0.3133039693272104,0.6644204866763765,0.10563380281688224,0.15845070422532337,2023-02-08T08:00:00+00:00,0,0,1,0,0,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.019797148849136192,1,0.13198099232759006,0.08600000000001273,0.03299999999998704,0.45887956450103606,0.1760816933549535,0.10563380281688904,0.15845070422533356,2023-02-08T08:15:00+00:00,0,0,1,0,0,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-0.18881217437694886,1,0.13296631998376562,0.03700000000000614,0.23799999999999955,0.1959619400714005,1.2605119388374457,-1.0000000000000089,-1.5000000000000133,2023-02-08T08:45:00+00:00,0,0,1,0,0,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.02106626652400223,1,0.14044177682672562,0.17199999999999704,0.0049999999999954525,0.8624695820590628,0.025071790176113173,0.10563380281686827,0.15845070422530239,2023-02-08T09:00:00+00:00,0,0,1,0,0,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.013852690177515115,1,0.09235126785011098,0.17799999999999727,0.0010000000000047748,1.357340463148864,0.007625508219973966,0.10563380281688974,0.1584507042253346,2023-02-09T00:15:00+00:00,0,0,1,0,0,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.022745480361805903,1,0.15163653574546002,0.11599999999998545,0.020000000000010232,0.5387233389595949,0.09288333430343759,0.10563380281684058,0.15845070422526086,2023-02-09T06:15:00+00:00,0,0,1,0,1,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.022622034026994697,1,0.15081356017990927,0.12000000000000455,0.03100000000000591,0.5603411400985016,0.14475479452546836,0.10563380281694021,0.1584507042254103,2023-02-09T06:30:00+00:00,0,0,1,0,1,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-0.21187215233337042,2,0.14920574107983184,0.010000000000019327,0.23599999999999,0.04719827447773907,1.113879277672442,-1.0000000000000435,-1.5000000000000653,2023-02-09T07:45:00+00:00,0,0,1,0,1,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.022813447416609733,1,0.15208964944405165,0.10999999999998522,0.06800000000001205,0.5093363619125212,0.314862478273293,0.10563380281691061,0.15845070422536592,2023-02-09T08:00:00+00:00,0,0,1,0,1,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.023018002815746286,1,0.15345335210489092,0.06799999999998363,0.0800000000000125,0.31206437192012415,0.3671345552002918,0.10563380281695946,0.1584507042254392,2023-02-09T08:15:00+00:00,0,0,1,0,1,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.02297495003594463,2,0.15316633357305434,0.05299999999999727,0.14000000000001478,0.2436824254474163,0.6436894257102573,0.10563380281683925,0.15845070422525886,2023-02-09T08:30:00+00:00,0,0,1,0,1,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.021987539868973727,1,0.14658359912657784,0.046999999999997044,0.0730000000000075,0.22580010142002588,0.35071079582265147,0.10563380281683919,0.15845070422525878,2023-02-09T13:00:00+00:00,0,0,1,0,1,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-0.2106323609034746,1,0.1483326485235762,0.030000000000001137,0.24199999999999022,0.14242825685151284,1.148921271935447,-0.999999999999983,-1.4999999999999745,2023-02-09T13:30:00+00:00,0,0,1,0,1,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop_or_be,0.02322621847440587,1,0.1548414564960191,0.20000000000001705,0.0,0.9096082768129237,0.0,0.10563380281691506,0.1584507042253726,2023-02-09T13:45:00+00:00,0,0,1,0,1,0,aegis,105,663,7148,320,3235,1118,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
