exit_reason,pnl_price,bars_held,atr_at_entry,mfe_price,mae_price,mfe_R,mae_R,sim_R,sim_pnl_pct,timestamp_utc,block_TueH08,block_MonH08,block_MonH09,block_MonH12,block_TueH12,block_ThuH12,block_day,block_session,block_hour,strategy,block_TueH08_cohort_n,block_MonH08_cohort_n,block_MonH09_cohort_n,block_MonH12_cohort_n,block_TueH12_cohort_n,block_ThuH12_cohort_n,block_day_cohort_n,block_session_cohort_n,block_hour_cohort_n,thin_cohort_any,feed,panel_window,canonical_status,simulation_simplifications
stop,-3.200029081921002,14,2.0645348915620767,2.6100000000001273,4.549999999999727,0.8156175875855314,1.4218620779746223,-0.9999999999999323,-0.339999999999977,2024-07-01T01:00:00+00:00,0,0,0,0,0,0,1,1,0,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-3.360606419105352,33,2.168133173616264,14.13000000000011,3.6100000000001273,4.204598289067824,1.074210886308228,-1.0000000000000424,-0.34000000000001446,2024-07-01T06:00:00+00:00,0,0,0,0,0,0,0,1,0,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-3.641683420923073,2,2.349473174789172,0.2300000000000182,4.5900000000001455,0.06315760416695144,1.2604061005491018,-0.9999999999999604,-0.33999999999998654,2024-07-01T07:30:00+00:00,0,0,0,0,0,0,0,1,0,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-3.750638215457002,23,2.4197665906172983,13.514999999999873,4.225000000000364,3.603386736770025,1.1264749510066452,-1.0000000000000506,-0.34000000000001723,2024-07-01T08:30:00+00:00,0,0,0,0,0,0,0,1,0,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-4.788836174728203,2,3.0895717256311905,1.599999999999909,6.6599999999998545,0.33411040629108,1.3907345661866692,-0.9999999999999704,-0.3399999999999899,2024-07-01T13:30:00+00:00,0,0,1,0,0,0,0,0,1,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-6.014254057368817,68,3.8801639079797656,5.429999999999836,6.019999999999982,0.9028551085810924,1.000955387414056,-1.0000000000000298,-0.3400000000000101,2024-07-01T16:00:00+00:00,0,0,0,1,0,0,0,0,1,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-2.700699090996295,6,1.7423865103203124,1.9400000000000546,3.4849999999996726,0.7183325259994987,1.290406625313375,-0.99999999999993,-0.3399999999999762,2024-07-02T05:30:00+00:00,0,0,0,0,0,0,0,1,0,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-2.731073738493251,2,1.7619830570922992,1.349999999999909,3.4899999999997817,0.49431107661882623,1.2778856721479346,-1.0000000000000684,-0.3400000000000233,2024-07-02T06:30:00+00:00,0,0,0,0,0,0,0,1,0,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-3.4897945063557927,7,2.251480326681172,1.6599999999998545,4.275000000000091,0.4756727070824847,1.2250004956493035,-0.9999999999999932,-0.33999999999999775,2024-07-02T07:45:00+00:00,0,0,0,0,0,0,0,1,0,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
stop,-3.639614311641708,3,2.348138265575312,0.680000000000291,4.674999999999727,0.18683298332607146,1.2844767603661165,-0.9999999999999929,-0.3399999999999976,2024-07-02T08:45:00+00:00,0,0,0,0,0,0,0,1,0,guardian,51,38,40,25,29,29,1427,2266,212,0,OANDA,2022-01-02_2026-04-19,PROXY,"Striker: base-leg only (no pyramid, no trail, no day-soft-stop). Guardian: grace-stop modelled. Aegis: BE modelled. All exits assume entry at signal-bar close."
