trade_num,signal,date_and_time,pnl_uncapped,pnl,cap_touched,mae
122,Long,2024-04-05 11:30,1236.3000,1236.3000,False,-221.9000
123,Long,2024-04-23 10:30,101.0100,101.0100,False,-827.3200
124,Long,2024-04-26 10:00,-2974.7000,-2974.7000,False,-2974.7000
125,Long,2024-04-26 12:45,-3221.1200,-3221.1200,False,-3221.1200
126,Long,2024-05-07 10:00,84.7000,84.7000,False,-1078.0000
127,Long,2024-05-21 10:00,82.2000,82.2000,False,-2359.1400
128,Long,2024-05-24 11:00,-2915.0100,-2915.0100,False,-2915.0100
129,Long,2024-06-04 09:45,-101.0100,-101.0100,False,-1053.3900
130,Long,2024-06-07 10:15,1296.8800,1296.8800,False,-1911.3900
131,Long,2024-06-21 10:00,101.2000,101.2000,False,-888.8000
132,Long,2024-07-09 12:15,4188.2400,4188.2400,False,-360.1000
133,Long,2024-07-12 10:15,-247.8600,-247.8600,False,-2120.5800
134,Long,2024-07-12 10:45,2235.0400,2235.0400,False,-398.4600
135,Long,2024-07-12 12:45,4318.0200,4318.0200,False,-685.8600
136,Long,2024-07-16 09:45,5651.1000,5651.1000,False,-8.2800
137,Long Add,2024-07-16 11:15,-5220.0000,-5220.0000,False,-5220.0000
138,Long,2024-07-26 09:45,1045.2000,1045.2000,False,-2211.0000
139,Long,2024-07-26 11:45,915.0600,915.0600,False,-1757.6400
140,Long,2024-08-06 10:00,162.6400,162.6400,False,-1474.4600
141,Long,2024-08-13 12:45,-3030.2400,-3030.2400,False,-3030.2400
142,Long,2024-08-16 12:45,102.2000,102.2000,False,-2769.6200
143,Long,2024-09-13 09:45,102.5200,102.5200,False,-3984.3000
144,Long,2024-09-13 10:30,-2995.9200,-2995.9200,False,-3710.7000
145,Long,2024-09-13 11:30,109.8200,109.8200,False,-119.5100
146,Long,2024-09-17 10:15,-2974.1600,-2974.1600,False,-2974.1600
147,Long,2024-09-20 12:30,102.2500,102.2500,False,-785.2800
148,Long,2024-09-27 10:00,7752.0700,7752.0700,False,-850.0300
149,Long,2024-10-11 10:00,3431.3200,3431.3200,False,-270.3200
150,Long Add,2024-10-11 11:30,-7079.2700,-7079.2700,False,-7079.2700
151,Long,2024-10-18 12:30,102.0000,102.0000,False,-1499.4000
