month,atr14_mean,atr14_median,ret_std,range_exp_freq,session_gap_p95,n_trades,n_wins,gross_profit_R,gross_loss_R,mean_R,sum_R,win_rate,pf,n_trades_filled,year
2024-04,0.0808092709411103,0.061698911956516,0.0005817784989383,0.1164772727272727,0.402249999999995,2.0,0.0,0.0,0.013333333333333334,-0.006666666666666667,-0.013333333333333334,0.0,0.0,2.0,2024
2024-05,0.0917412185792054,0.0730186026771654,0.0005497729218914,0.1226544622425629,0.0837999999999908,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,,1.0,2024
2024-06,0.0896935862394131,0.0820651627460816,0.0004751751899153,0.1231884057971014,0.0833999999999889,3.0,1.0,0.17333333333333334,0.013333333333333334,0.05333333333333334,0.16,0.3333333333333333,13.0,3.0,2024
2024-07,0.1331094129016149,0.1093542722455899,0.000820737664166,0.1308876811594203,0.2133999999999857,5.0,2.0,0.23333333333333334,0.006666666666666667,0.04533333333333334,0.22666666666666668,0.4,35.0,5.0,2024
2024-08,0.1936352696553486,0.1633371185883836,0.0010186566763433,0.1142857142857142,0.1275999999999953,3.0,2.0,0.32,-0.0,0.10666666666666667,0.32,0.6666666666666666,,3.0,2024
2024-09,0.1665530742918243,0.1560879231282723,0.0008973217416565,0.1173570019723865,0.1108000000000004,3.0,0.0,0.0,0.08666666666666667,-0.02888888888888889,-0.08666666666666667,0.0,0.0,3.0,2024
2024-10,0.119727503997164,0.1111955395348119,0.0006135327689912,0.1082427536231884,0.7751999999999907,,,,,,,,,0.0,2024
2024-11,0.1461040650395282,0.1383270340589203,0.0006923352272327,0.1077844311377245,0.642199999999994,3.0,1.0,0.013333333333333334,0.04666666666666667,-0.011111111111111112,-0.03333333333333333,0.3333333333333333,0.2857142857142857,3.0,2024
2024-12,0.1225530815443833,0.1147559809544375,0.0005915912344901,0.1205357142857142,0.0877499999999784,3.0,2.0,0.24000000000000002,0.02,0.07333333333333335,0.22000000000000003,0.6666666666666666,12.0,3.0,2024
2025-01,0.1326578757170684,0.1243162493308543,0.0006122423751516,0.1207386363636363,0.2096000000000003,,,,,,,,,0.0,2025
2025-02,0.1328171514466169,0.1317498214182733,0.0006102038440214,0.1036458333333333,0.2885000000000217,5.0,2.0,0.25333333333333335,0.06666666666666667,0.037333333333333336,0.18666666666666668,0.4,3.8000000000000003,5.0,2025
2025-03,0.1402989308142383,0.1320573058992468,0.0006600305280354,0.1089743589743589,0.1086000000000012,4.0,2.0,0.19999999999999998,0.03333333333333333,0.041666666666666664,0.16666666666666666,0.5,6.0,4.0,2025
2025-04,0.1886613997678477,0.165345892710904,0.0009615441051172,0.1112689393939393,1.3689500000000092,4.0,1.0,0.16666666666666666,0.14,0.006666666666666661,0.026666666666666644,0.25,1.1904761904761902,4.0,2025
2025-05,0.1427469136978063,0.1417149709632435,0.0007116622483476,0.1123809523809523,0.7291999999999985,3.0,2.0,0.22,-0.0,0.07333333333333333,0.22,0.6666666666666666,,3.0,2025
2025-06,0.1213001020057054,0.1178945211173688,0.000567318153791,0.1119329388560157,0.546999999999997,5.0,1.0,0.16666666666666666,0.04666666666666667,0.024,0.12,0.2,3.571428571428571,5.0,2025
2025-07,0.1107568746666744,0.1065302668805948,0.0005840630870012,0.1159420289855072,0.7712000000000016,2.0,0.0,0.0,0.03333333333333333,-0.016666666666666666,-0.03333333333333333,0.0,0.0,2.0,2025
2025-08,0.1017653560922166,0.0963475356756349,0.0005594440108031,0.1101190476190476,0.1756000000000028,4.0,1.0,0.16,0.02,0.035,0.14,0.25,8.0,4.0,2025
2025-09,0.0900144628153133,0.0836473303087675,0.0004558702490101,0.1131628787878787,0.6601000000000053,4.0,0.0,0.0,0.02666666666666667,-0.006666666666666667,-0.02666666666666667,0.0,0.0,4.0,2025
2025-10,0.1115590849597663,0.1094754949286345,0.0005850898754242,0.1238615664845173,1.746699999999981,3.0,1.0,0.12,-0.0,0.04,0.12,0.3333333333333333,,3.0,2025
2025-11,0.0933259149164648,0.0904052812384818,0.0004116526946305,0.1187759336099585,0.2862000000000023,3.0,2.0,0.21999999999999997,-0.0,0.07333333333333333,0.22,0.6666666666666666,,3.0,2025
2025-12,0.091939579410384,0.0894825102406247,0.0004228444941507,0.11787072243346,0.1650000000000147,4.0,1.0,0.10666666666666667,0.013333333333333334,0.023333333333333334,0.09333333333333334,0.25,8.0,4.0,2025
2026-01,0.113406259946878,0.0980174398639841,0.0006154725153856,0.117063492063492,0.7245999999999923,1.0,1.0,0.006666666666666667,-0.0,0.006666666666666667,0.006666666666666667,1.0,,1.0,2026
2026-02,0.1188813747596465,0.1121909072072777,0.0005403241941274,0.1145833333333333,0.2691499999999905,3.0,1.0,0.013333333333333334,-0.0,0.0044444444444444444,0.013333333333333334,0.3333333333333333,,3.0,2026
2026-03,0.1070534602565162,0.1039748534515619,0.000479905462679,0.103578154425612,0.2509999999999934,4.0,3.0,0.4266666666666667,-0.0,0.10666666666666667,0.4266666666666667,0.75,,4.0,2026
2026-04,0.0848105003337977,0.0799501791864391,0.0003972074980739,0.1049679487179487,0.3082999999999969,2.0,2.0,0.20666666666666667,-0.0,0.10333333333333333,0.20666666666666667,1.0,,2.0,2026
