utc_window,ret_XAUUSD,ret_US30USD,ret_USDJPY,sigma_threshold,feed,panel_window,canonical_status,threshold_sigma,long_only_universe
2024-08-14 02:00:00+00:00,-0.0017841616282992649,-0.0010436668607372791,-0.002392745196364863,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-08-14 14:30:00+00:00,-0.0031226903319024387,-0.0013661410153828248,-0.001130952095964401,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-09-04 06:45:00+00:00,-0.001293256642257424,-0.0010910460535233568,-0.0014139834954049553,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-09-04 07:15:00+00:00,-0.0016473358225285227,-0.0010898169329221956,-0.0013664126897405915,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-09-05 14:45:00+00:00,-0.001620978278570844,-0.002414105811380596,-0.0018534657121867225,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-09-06 14:15:00+00:00,-0.0012186792502838115,-0.004276367579433558,-0.003457329265284978,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-09-10 14:00:00+00:00,-0.0012613437775884043,-0.003911569194830288,-0.0026467082157101956,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-09-10 15:45:00+00:00,-0.0013918966039987385,-0.003625721407683454,-0.0011589399456226742,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-09-11 14:00:00+00:00,-0.0020980465157702578,-0.0037770304062188093,-0.0019975513705984176,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-09-13 15:00:00+00:00,-0.0013932849037237187,-0.0008704314988092717,-0.0010528713055031741,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-09-23 07:00:00+00:00,-0.001176130970124719,-0.0014603170414027762,-0.0011604436002974066,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-10-03 07:15:00+00:00,-0.001930957573959189,-0.0017796976839203908,-0.0013791504708769466,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-10-23 15:00:00+00:00,-0.002534664160270312,-0.002424516460469798,-0.0010330376800528104,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-10-23 18:00:00+00:00,-0.001049600143498441,-0.0019333336211678385,-0.0009888639022442192,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-10-31 14:00:00+00:00,-0.0009658328335129261,-0.0027647370853439665,-0.0012690440046572474,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-11-06 13:00:00+00:00,-0.0047511327966493246,-0.0019385475227858273,-0.0010886188576712157,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
2024-11-15 16:30:00+00:00,-0.0012612345589255777,-0.0022205119057528548,-0.0010598972116490262,1.0,OANDA,2022-01-02_2026-04-19,PROXY,1.0,all three locked strategies long-only
