utc,XAUUSD__US30USD,XAUUSD__USDJPY,US30USD__USDJPY,feed,panel_window,canonical_status,window_days
2022-04-28 00:00:00+00:00,-0.2026951387257067,-0.2641590126939204,0.1119403516791617,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-04-29 00:00:00+00:00,-0.1975078331525022,-0.2644458632519218,0.10636263261639979,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-05-01 00:00:00+00:00,-0.19637257870490363,-0.26347035504281685,0.10515025728257468,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-05-02 00:00:00+00:00,-0.18824753632576913,-0.26338693212787595,0.1022058738491569,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-05-03 00:00:00+00:00,-0.18350689825443572,-0.26412862278221394,0.09887021434160115,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-05-04 00:00:00+00:00,-0.17714569644697833,-0.2585048590699203,0.08871907508549637,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-05-05 00:00:00+00:00,-0.13072715756526196,-0.2542947404151414,0.07561356744513399,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-05-06 00:00:00+00:00,-0.12180171438139488,-0.2581017565430542,0.07166251523647182,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-05-08 00:00:00+00:00,-0.11257120470121965,-0.2601459768103347,0.06978921043793705,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-05-09 00:00:00+00:00,-0.1074215482079164,-0.25975796737751666,0.07203566953533876,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-05-10 00:00:00+00:00,-0.09896763538153883,-0.25976211880858663,0.07137351877904712,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-05-11 00:00:00+00:00,-0.09089042872805106,-0.26642607140055846,0.06367207495099396,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-05-12 00:00:00+00:00,-0.07906336463387094,-0.25148940410032217,0.06782126652089478,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-05-13 00:00:00+00:00,-0.07213943036850337,-0.24804375380225757,0.06796352567866618,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-05-15 00:00:00+00:00,-0.07037820842991246,-0.24704812639702306,0.06732584451471169,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-05-16 00:00:00+00:00,-0.0656560615480733,-0.24304148290494726,0.07054640530043542,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-05-17 00:00:00+00:00,-0.06672958256458313,-0.239952250126442,0.07256499838511027,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-05-18 00:00:00+00:00,-0.06040014238898851,-0.23515869356165714,0.07287399781241481,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-05-19 00:00:00+00:00,-0.057183537755529215,-0.2339181842744293,0.0817510738868863,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-05-20 00:00:00+00:00,-0.05223431402604442,-0.2312714200122624,0.08363166473071816,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-05-22 00:00:00+00:00,-0.048621885182201376,-0.22808918141822696,0.08123111204866722,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-05-23 00:00:00+00:00,-0.04521830054303552,-0.22584641391871427,0.08128702953048908,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-05-24 00:00:00+00:00,-0.04240905059551647,-0.22671851225853634,0.08157876251969509,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-05-25 00:00:00+00:00,-0.029025233003254956,-0.22790702427143908,0.073390121570456,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-05-26 00:00:00+00:00,-0.007033812188016443,-0.23343625552030922,0.07702161830352254,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-05-27 00:00:00+00:00,0.0005073169407764827,-0.2356570132160126,0.0774541541642365,OANDA,2022-01-02_2026-04-19,PROXY,60
2022-05-29 00:00:00+00:00,0.00025672271045159,-0.23552739117727373,0.07767913564386619,OANDA,2022-01-02_2026-04-19,PROXY,60
