exit_date_ny,guardian_R,guardian_pnl_usd,guardian_n_trades,striker_R,striker_pnl_usd,striker_n_trades,aegis_R,aegis_pnl_usd,aegis_n_trades,portfolio_R
2023-03-29,5.88235294117647,5272.91,1,0.0,0.0,0,0.0,0.0,0,5.88235294117647
2023-03-31,0.0,0.0,0,0.22,4459.78,1,0.0,0.0,0,0.22
2023-04-02,-0.7058823529411764,-791.78,1,0.0,0.0,0,0.0,0.0,0,-0.7058823529411764
2023-04-03,-0.6176470588235293,-789.22,1,0.0,0.0,0,-0.06666666666666667,-2067.35,1,-0.684313725490196
2023-04-05,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,181.79,1,0.006666666666666667
2023-04-11,0.0,0.0,0,0.05,900.59,1,0.0,0.0,0,0.05
2023-04-14,-0.5588235294117647,-786.69,1,0.0,0.0,0,0.0,0.0,0,-0.5588235294117647
2023-04-20,-0.7352941176470588,-783.79,1,0.0,0.0,0,0.0,0.0,0,-0.7352941176470588
2023-04-21,-0.8823529411764705,-780.85,1,0.0,0.0,0,0.0,0.0,0,-0.8823529411764705
2023-04-24,0.0,0.0,0,0.0,0.0,0,0.0,84.23,1,0.0
2023-04-25,0.0,0.0,0,0.0,0.0,0,-0.08666666666666667,-3478.32,1,-0.08666666666666667
2023-04-28,0.0,0.0,0,0.09999999999999998,2856.57,3,0.0,0.0,0,0.09999999999999998
2023-05-03,9.117647058823529,14545.08,1,0.0,0.0,0,0.006666666666666667,148.33,1,9.124313725490195
2023-05-05,-0.823529411764706,-827.82,1,0.0,0.0,0,0.0,0.0,0,-0.823529411764706
2023-05-08,-0.5588235294117647,-825.53,1,0.0,0.0,0,0.0,0.0,0,-0.5588235294117647
2023-05-09,-0.5,-822.69,1,-0.19,-4068.48,1,0.0,0.0,0,-0.69
2023-05-10,0.0,0.0,0,0.0,0.0,0,0.0,16.25,1,0.0
2023-05-22,0.0,0.0,0,0.0,0.0,0,0.14666666666666667,4698.94,1,0.14666666666666667
2023-05-26,0.0,0.0,0,-0.26,-2781.39,1,0.0,0.0,0,-0.26
2023-06-02,-0.6470588235294117,-819.71,1,0.0,0.0,0,0.0,0.0,0,-0.6470588235294117
2023-06-04,0.0,0.0,0,1.3399999999999999,31310.309999999998,2,0.0,0.0,0,1.3399999999999999
2023-06-05,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,127.7,1,0.006666666666666667
2023-06-06,-0.5,-817.31,1,-0.16,-3454.54,1,0.0,0.0,0,-0.66
2023-06-07,-0.676470588235294,-814.02,1,0.0,0.0,0,0.0,0.0,0,-0.676470588235294
2023-06-09,0.0,0.0,0,0.0,87.84,1,0.0,0.0,0,0.0
2023-06-27,0.0,0.0,0,0.06,-4108.45,3,0.0,0.0,0,0.06
2023-07-03,0.0,0.0,0,0.0,0.0,0,0.2333333333333333,10110.33,1,0.2333333333333333
2023-07-04,-0.32352941176470584,-812.55,1,0.0,0.0,0,0.0,0.0,0,-0.32352941176470584
2023-07-07,0.0,0.0,0,0.17,3197.84,1,0.0,0.0,0,0.17
2023-07-10,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,144.12,1,0.006666666666666667
2023-07-11,0.0,0.0,0,0.0,92.72,1,0.0,0.0,0,0.0
2023-07-12,0.0,0.0,0,0.0,0.0,0,0.006666666666666667,187.71,1,0.006666666666666667
2023-07-18,0.0,0.0,0,0.23,-419.21000000000004,3,0.0,0.0,0,0.23
2023-07-21,6.147058823529411,8060.29,1,0.0,0.0,0,0.0,0.0,0,6.147058823529411
2023-07-25,0.0,0.0,0,0.0,83.95,1,0.0,0.0,0,0.0
2023-08-01,0.0,0.0,0,-0.13,-3302.5,1,0.0,0.0,0,-0.13
2023-08-04,0.0,0.0,0,-0.18,-2989.21,2,0.0,0.0,0,-0.18
2023-08-11,0.0,0.0,0,0.01,99.91,1,0.0,0.0,0,0.01
2023-08-18,0.0,0.0,0,-0.16,-2450.46,2,0.0,0.0,0,-0.16
2023-08-23,0.0,0.0,0,0.0,0.0,0,-0.10666666666666667,-3606.79,1,-0.10666666666666667
2023-08-29,0.0,0.0,0,0.01,185.99,2,0.0,0.0,0,0.01
2023-09-04,6.117647058823529,9170.25,1,0.0,0.0,0,0.0,0.0,0,6.117647058823529
2023-09-08,0.0,0.0,0,0.04,893.18,1,0.0,0.0,0,0.04
2023-09-11,0.0,0.0,0,0.0,0.0,0,0.24,7460.35,1,0.24
2023-09-12,0.0,0.0,0,0.63,23785.519999999997,2,0.0,0.0,0,0.63
