date,daily_contrib,rolling_sharpe,strategy,window
2025-08-22,0.0,0.9538903287870298,guardian,90
2025-08-25,-0.0010999999999999998,-6.437827476326708,guardian,90
2025-08-26,-0.0017999999999999997,-6.676918003616535,guardian,90
2025-08-27,0.0,-6.676918003616535,guardian,90
2025-08-28,0.0,-6.676918003616535,guardian,90
2025-08-29,0.0,-6.676918003616535,guardian,90
2025-09-01,0.0364,-0.24439522009090214,guardian,90
2025-09-02,0.0,-0.24439522009090214,guardian,90
2025-09-03,0.0,-0.24439522009090214,guardian,90
2025-09-04,0.0,-0.24439522009090214,guardian,90
2025-09-05,0.0,-0.24439522009090214,guardian,90
2025-09-08,0.0,-0.24439522009090214,guardian,90
2025-09-09,0.0488,1.2607545554349022,guardian,90
2025-09-10,0.0,1.2607545554349022,guardian,90
2025-09-11,0.0,1.3495756573295197,guardian,90
2025-09-12,0.0,1.3495756573295197,guardian,90
2025-09-15,0.0,1.3495756573295197,guardian,90
2025-09-16,0.0,1.3495756573295197,guardian,90
2025-09-17,0.0,1.3495756573295197,guardian,90
2025-09-18,0.0,1.3495756573295197,guardian,90
2025-09-19,0.0,1.3495756573295197,guardian,90
2025-09-22,0.0353,2.0983933085787165,guardian,90
2025-09-23,-0.0027,2.032023604906419,guardian,90
2025-09-24,0.0,2.032023604906419,guardian,90
2025-09-25,0.0,2.1238202019156596,guardian,90
2025-09-26,0.0,2.1238202019156596,guardian,90
2025-09-29,0.0,2.1238202019156596,guardian,90
2025-09-30,-0.0021999999999999997,2.0698713457979188,guardian,90
2025-10-01,0.0,2.0698713457979188,guardian,90
2025-10-02,0.0,2.0698713457979188,guardian,90
2025-10-03,0.0,2.0698713457979188,guardian,90
2025-10-06,0.0,2.0698713457979188,guardian,90
2025-10-07,0.0,2.0698713457979188,guardian,90
2025-10-08,0.0,2.1288340701686295,guardian,90
2025-10-09,0.0,2.1288340701686295,guardian,90
2025-10-10,0.0,2.1288340701686295,guardian,90
2025-10-13,0.06290000000000001,2.7221723768466948,guardian,90
2025-10-14,-0.0029,2.667768829887415,guardian,90
