exit_time,rolling_pf,strategy
2025-02-25 01:30:00,3.6434878587196455,guardian
2025-03-04 20:00:00,3.5267094017094007,guardian
2025-03-06 19:00:00,3.434963579604578,guardian
2025-03-17 22:45:00,3.7113951011714583,guardian
2025-03-21 09:30:00,3.6113989637305695,guardian
2025-04-04 10:45:00,3.1150353178607464,guardian
2025-04-21 18:00:00,5.241830065359476,guardian
2025-05-06 20:30:00,5.577190542420027,guardian
2025-05-08 11:15:00,5.339547270306257,guardian
2025-05-19 19:00:00,4.550326797385621,guardian
2025-05-22 09:45:00,4.340399002493765,guardian
2025-06-04 07:15:00,4.451406649616367,guardian
2025-06-16 23:15:00,4.468549422336328,guardian
2025-06-17 10:00:00,4.324223602484471,guardian
2025-06-23 16:30:00,4.265931372549018,guardian
2025-07-10 09:45:00,3.8217821782178216,guardian
2025-07-10 12:30:00,3.7115384615384612,guardian
2025-08-05 05:00:00,3.8076448828606657,guardian
2025-08-07 10:00:00,3.698203592814371,guardian
2025-08-08 14:00:00,3.5658198614318706,guardian
2025-08-21 20:15:00,3.497168742921857,guardian
2025-08-25 15:00:00,3.302646720368239,guardian
2025-08-26 10:00:00,3.2356257046223225,guardian
2025-09-01 21:30:00,3.854588796185936,guardian
2025-09-09 09:45:00,4.598531211750306,guardian
2025-09-09 11:00:00,4.409624413145539,guardian
2025-09-22 21:00:00,5.1183063511830635,guardian
2025-09-23 12:30:00,4.951807228915663,guardian
2025-09-30 04:30:00,4.478873239436619,guardian
2025-10-13 01:00:00,5.3169856459330145,guardian
2025-10-14 02:15:00,5.138728323699422,guardian
2025-10-21 10:30:00,4.452250274423711,guardian
2025-11-03 11:00:00,4.347266881028938,guardian
2025-11-03 14:00:00,4.203108808290155,guardian
2025-11-06 09:15:00,4.109422492401215,guardian
2025-11-13 03:15:00,4.7234042553191475,guardian
2025-11-13 09:15:00,4.566111655239959,guardian
2025-12-08 20:30:00,5.1526881720430096,guardian
2025-12-09 10:00:00,5.028331584470093,guardian
2025-12-10 04:00:00,4.884811416921507,guardian
2025-12-21 23:45:00,5.3849329205366345,guardian
2025-12-24 10:30:00,5.270707070707069,guardian
2026-01-05 19:30:00,5.223223223223223,guardian
2026-01-18 18:15:00,5.620020429009193,guardian
2026-01-20 20:30:00,5.983656792645556,guardian
2026-01-22 08:30:00,5.828855721393034,guardian
2026-01-25 20:30:00,6.348258706467661,guardian
2026-01-26 11:30:00,5.732057416267941,guardian
2026-01-26 13:30:00,5.485347985347984,guardian
2026-01-27 10:00:00,5.254385964912279,guardian
2026-01-28 18:30:00,6.032456140350876,guardian
2026-01-29 09:45:00,5.726061615320566,guardian
2026-01-29 21:00:00,5.15131086142322,guardian
2026-02-12 09:45:00,5.045487894350697,guardian
2026-02-12 11:00:00,4.905135520684736,guardian
2026-02-19 09:00:00,4.679715302491103,guardian
2026-03-01 18:00:00,5.432171979243884,guardian
2026-03-03 01:00:00,5.283345349675559,guardian
2026-03-12 09:15:00,5.193479801559179,guardian
2026-03-30 13:00:00,4.912860154602952,guardian
2026-04-05 18:45:00,4.676254180602007,guardian
2026-04-06 11:00:00,4.533722438391699,guardian
2026-04-20 18:00:00,4.174448767833982,guardian
2022-04-19 11:30:00,1.49645390070922,striker
2022-05-03 11:45:00,1.50354609929078,striker
2022-05-27 10:15:00,1.4825174825174823,striker
2022-05-27 13:30:00,1.4895104895104891,striker
2022-05-31 12:45:00,1.496503496503496,striker
2022-06-07 11:15:00,1.5034965034965029,striker
2022-06-21 11:00:00,1.5384615384615377,striker
2022-06-24 13:15:00,1.5454545454545445,striker
2022-07-15 11:15:00,1.5524475524475523,striker
2022-07-19 12:00:00,1.7210884353741496,striker
2022-07-19 12:00:00,1.7210884353741496,striker
2022-07-19 14:45:00,1.612121212121212,striker
2022-07-19 14:45:00,1.612121212121212,striker
2022-07-29 10:45:00,1.618181818181818,striker
2022-07-29 14:00:00,1.6242424242424238,striker
2022-08-02 13:15:00,1.395833333333333,striker
2022-08-14 18:00:00,1.645833333333333,striker
2022-08-14 18:00:00,1.645833333333333,striker
2022-08-16 10:15:00,1.645833333333333,striker
2022-08-16 14:30:00,2.0,striker
2022-08-16 14:30:00,2.0,striker
2022-09-02 12:00:00,2.005208333333333,striker
2022-10-04 10:15:00,2.0104166666666665,striker
2022-10-11 12:00:00,2.223958333333333,striker
2022-10-11 14:00:00,1.8565217391304347,striker
2022-10-21 10:15:00,1.8652173913043475,striker
2022-10-23 19:15:00,2.939130434782609,striker
2022-10-23 19:15:00,2.939130434782609,striker
2022-10-25 13:00:00,2.6201550387596897,striker
2022-10-30 18:00:00,3.1589147286821704,striker
2022-10-30 18:00:00,3.1589147286821704,striker
2022-11-04 10:45:00,3.178294573643411,striker
2022-11-08 11:00:00,3.232558139534884,striker
2022-11-08 12:00:00,3.236434108527132,striker
